Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153659002,0,0,0
0.307318004,0,0,0
0.460977007,0,0,0
0.614636009,0,0,0
0.768295039,0,0,0
0.921954013,0,0,0
1.07561304,0,0,0
1.22927202,0,0,0
1.3829311,0,0,0
1.53659008,0,0,0
1.69024905,0,0,0
1.84390803,0,0,0
1.997567,0,0,0
2.15122609,0,0,0
2.30488517,0,0,0
2.45854404,0,0,0
2.61220312,0,0,0
2.76586221,0,0,0
2.91952107,0,0,0
3.07318015,0,0,0
3.22683924,0,0,0
3.3804981,0,0,0
3.53415719,0,0,0
3.68781605,0,0,0
3.84147514,0,0,0
3.995134,0,0,0
4.14879331,0,0,0
4.30245217,0,0,0
4.45611104,0,0,0
4.60977034,0,0,0
4.76342921,0,0,0
4.91708807,0,0,0
5.07074738,0,0,0
5.22440624,0,0,0
5.3780651,0,0,0
5.53172441,0,0,0
5.68538328,0,0,0
5.83904214,0,0,0
5.99270145,0,0,0
6.14636031,0,0,0
6.30001917,0,0,0
6.45367848,0,0,0
6.60733734,0,0,0
6.76099621,0,0,0
6.91465507,0,0,0
7.06831438,0,0,0
7.22197324,0,0,0
7.37563211,0,0,0
7.52929097,0,0,0
7.68295028,0,0,0
7.83660958,0,0,0
7.990268,0,0,0
8.14392731,0,0,0
8.29758662,0,0,0
8.45124504,0,0,0
8.60490434,0,0,0
8.75856365,0,0,0
8.91222207,0,0,0
9.06588138,0,0,0
9.21954069,0,0,0
9.37319911,0,0,0
9.52685841,0,0,0
9.68051772,0,0,0
9.83417614,0,0,0
9.98783545,0,0,0
10.1414948,0,0,0
10.2951532,0,0,0
10.4488125,0,0,0
10.6024718,0,0,0
10.7561302,0,0,0
10.9097895,0,0,0
11.0634488,0,0,0
11.2171072,0,0,0
11.3707666,0,0,0
11.5244259,0,0,0
11.6780843,0,0,0
11.8317436,0,0,0
11.9854029,0,0,0
12.1390613,0,0,0
12.2927206,0,0,0
12.4463799,0,0,0
12.6000383,0,0,0
12.7536977,0,0,0
12.907357,0,0,0
13.0610154,0,0,0
13.2146747,0,0,0
13.368334,0,0,0
13.5219924,0,0,0
13.6756517,0,0,0
13.8293101,0,0,0
13.9829694,0,0,0
14.1366288,0,0,0
14.2902872,0,0,0
14.4439465,0,0,0
14.5976058,0,0,0
14.7512642,0,0,0
14.9049235,0,0,0
15.0585819,0,0,0
15.2122421,0,0,0
15.3659006,0,0,0
15.519559,0,0,0
15.6732192,0,0,0
15.8268776,0,0,0
15.980536,0,0,0
16.1341962,0,0,0
16.2878546,0,0,0
16.441513,0,0,0
16.5951732,0,0,0
16.7488317,0,0,0
16.9024901,0,0,0
17.0561503,0,0,0
17.2098087,0,0,0
17.3634671,0,0,0
17.5171273,0,0,0
17.6707857,0,0,0
17.8244441,0,0,0
17.9781043,0,0,0
18.1317628,0,0,0
18.2854212,0,0,0
18.4390814,0,0,0
18.5927398,0,0,0
18.7463982,0,0,0
18.9000584,0,0,0
19.0537168,0,0,0
19.2073752,0,0,0
19.3610354,0,0,0
19.5146939,0,0,0
19.6683523,0,0,0
19.8220125,0,0,0
19.9756709,0,0,0
20.1293293,0,0,0
20.2829895,0,0,0
20.4366479,0,0,0
20.5903063,0,0,0
20.7439665,0,0,0
20.897625,0,0,0
21.0512834,0,0,0
21.2049436,0,0,0
21.358602,0,0,0
21.5122604,0,0,0
21.6659206,0,0,0
21.819579,0,0,0
21.9732375,0,0,0
22.1268976,0,0,0
22.2805561,0,0,0
22.4342145,0,0,0
22.5878747,0,0,0
22.7415331,0,0,0
22.8951915,0,0,0
23.0488517,0,0,0
23.2025101,0,0,0
23.3561686,0,0,0
23.5098288,0,0,0
23.6634872,0,0,0
23.8171456,0,0,0
23.9708058,0,0,0
24.1244642,0,0,0
24.2781226,0,0,0
24.4317828,0,0,0
24.5854412,0,0,0
24.7390997,0,0,0
24.8927599,0,0,0
25.0464183,0,0,0
25.2000767,0,0,0
25.3537369,0,0,0
25.5073953,0,0,0
25.6610537,0,0,0
25.8147139,0,0,0
25.9683723,0,0,0
26.1220308,0,0,0
26.275691,0,0,0
26.4293494,0,0,0
26.5830078,0,0,0
26.736668,0,0,0
26.8903264,0,0,0
27.0439848,0,0,0
27.197645,0,0,0
27.3513034,0,0,0
27.5049619,0,0,0
27.6586203,0,0,0
27.8122805,0,0,0
27.9659389,0,0,0
28.1195973,0,0,0
28.2732575,0,0,0
28.4269159,0,0,0
28.5805744,0,0,0
28.7342345,0,0,0
28.887893,0,0,0
29.0415514,0,0,0
29.1952116,0,0,0
29.34887,0,0,0
29.5025284,0,0,0
29.6561886,0,0,0
29.809847,0,0,0
29.9635055,0,0,0
30.1171639,0,0,0
30.2708258,0,0,0
30.4244843,0,0,0
30.5781427,0,0,0
30.7318011,0,0,0
30.8854595,0,0,0
31.0391179,0,0,0
31.1927799,0,0,0
31.3464383,0,0,0
31.5000968,0,0,0
31.6537552,0,0,0
31.8074136,0,0,0
31.961072,0,0,0
32.114734,0,0,0
32.2683924,0,0,0
32.4220508,0,0,0
32.5757092,0,0,0
32.7293677,0,0,0
32.8830261,0,0,0
33.0366881,0,0,0
33.1903465,0,0,0
33.3440049,0,0,0
33.4976633,0,0,0
33.6513217,0,0,0
33.8049801,0,0,0
33.9586421,0,0,0
34.1123005,0,0,0
34.265959,0,0,0
34.4196174,0,0,0
34.5732758,0,0,0
34.7269342,0,0,0
34.8805962,0,0,0
35.0342546,0,0,0
35.187913,0,0,0
35.3415714,0,0,0
35.4952299,0,0,0
35.6488883,0,0,0
35.8025503,0,0,0
35.9562087,0,0,0
36.1098671,0,0,0
36.2635255,0,0,0
36.4171839,0,0,0
36.5708424,0,0,0
36.7245008,0,0,0
36.8781627,0,0,0
37.0318212,0,0,0
37.1854796,0,0,0
37.339138,0,0,0
37.4927964,0,0,0
37.6464548,0,0,0
37.8001168,0,0,0
37.9537752,0,0,0
38.1074337,0,0,0
38.2610921,0,0,0
38.4147505,0,0,0
38.5684089,0,0,0
38.7220709,0,0,0
38.8757293,0,0,0
39.0293877,0,0,0
39.1830461,0,0,0
39.3367046,0,0,0
39.490363,0,0,0
39.644025,0,0,0
39.7976834,0,0,0
39.9513418,0,0,0
40.1050002,0,0,0
40.2586586,0,0,0
40.412317,0,0,0
40.565979,0,0,0
40.7196374,0,0,0
40.8732959,0,0,0
41.0269543,0,0,0
41.1806127,0,0,0
41.3342711,0,0,0
41.4879331,0,0,0
41.6415915,0,0,0
41.7952499,0,0,0
41.9489083,0,0,0
42.1025668,0,0,0
42.2562252,0,0,0
42.4098872,0,0,0
42.5635456,0,0,0
42.717204,0,0,0
42.8708624,0,0,0
43.0245208,0,0,0
43.1781793,0,0,0
43.3318412,0,0,0
43.4854996,0,0,0
43.6391581,0,0,0
43.7928165,0,0,0
43.9464749,0,0,0
44.1001333,0,0,0
44.2537953,0,0,0
44.4074537,0,0,0
44.5611121,0,0,0
44.7147706,0,0,0
44.868429,0,0,0
45.0220874,0,0,0
45.1757494,0,0,0
45.3294078,0,0,0
45.4830662,0,0,0
45.6367246,0,0,0
45.790383,0,0,0
45.9440415,0,0,0
46.0977034,0,0,0
46.2513619,0,0,0
46.4050203,0,0,0
46.5586787,0,0,0
46.7123371,0,0,0
46.8659955,0,0,0
47.0196575,0,0,0
47.1733159,0,0,0
47.3269743,0,0,0
47.4806328,0,0,0
47.6342912,0,0,0
47.7879496,0,0,0
47.9416116,0,0,0
48.09527,0,0,0
48.2489284,0,0,0
48.4025868,0,0,0
48.5562452,0,0,0
48.7099037,0,0,0
48.8635656,0,0,0
49.0172241,0,0,0
49.1708825,0,0,0
49.3245409,0,0,0
49.4781993,0,0,0
49.6318577,0,0,0
49.7855197,0,0,0
49.9391781,0,0,0
50.0928365,0,0,0
50.246495,0,0,0
50.4001534,0,0,0
50.5538118,0,0,0
50.7074738,0,0,0
50.8611322,0,0,0
51.0147906,0,0,0
51.168449,0,0,0
51.3221075,0,0,0
51.4757659,0,0,0
51.6294278,0,0,0
51.7830863,0,0,0
51.9367447,0,0,0
52.0904031,0,0,0
52.2440615,0,0,0
52.3977199,0,0,0
52.5513819,0,0,0
52.7050403,0,0,0
52.8586988,0,0,0
53.0123572,0,0,0
53.1660156,0,0,0
53.319674,0,0,0
53.473336,0,0,0
53.6269944,0,0,0
53.7806528,0,0,0
