Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.192583324,0,0,0
0.385166649,0,0,0
0.577749959,0,0,0
0.770333297,0,0,0
0.962916635,0,0,0
1.15549992,0,0,0
1.3480832,0,0,0
1.54066659,0,0,0
1.73324988,0,0,0
1.92583327,0,0,0
2.11841655,0,0,0
2.31099984,0,0,0
2.50358312,0,0,0
2.6961664,0,0,0
2.88874968,0,0,0
3.08133319,0,0,0
3.27391647,0,0,0
3.46649975,0,0,0
3.65908304,0,0,0
3.85166654,0,0,0
4.04424982,0,0,0
4.23683311,0,0,0
4.42941639,0,0,0
4.62199967,0,0,0
4.81458295,0,0,0
5.00716624,0,0,0
5.19974952,0,0,0
5.3923328,0,0,0
5.58491609,0,0,0
5.77749937,0,0,0
5.97008265,0,0,0
6.16266638,0,0,0
6.35524966,0,0,0
6.54783294,0,0,0
6.74041623,0,0,0
6.93299951,0,0,0
7.12558279,0,0,0
7.31816607,0,0,0
7.51074936,0,0,0
7.70333308,0,0,0
7.89591592,0,0,0
8.08849965,0,0,0
8.28108249,0,0,0
8.47366621,0,0,0
8.66624905,0,0,0
8.85883278,0,0,0
9.05141562,0,0,0
9.24399934,0,0,0
9.43658218,0,0,0
9.62916591,0,0,0
9.82174964,0,0,0
10.0143325,0,0,0
10.2069162,0,0,0
10.399499,0,0,0
10.5920828,0,0,0
10.7846656,0,0,0
10.9772493,0,0,0
11.1698322,0,0,0
11.3624159,0,0,0
11.5549987,0,0,0
11.7475825,0,0,0
11.9401653,0,0,0
12.132749,0,0,0
12.3253328,0,0,0
12.5179156,0,0,0
12.7104993,0,0,0
12.9030822,0,0,0
13.0956659,0,0,0
13.2882487,0,0,0
13.4808325,0,0,0
13.6734153,0,0,0
13.865999,0,0,0
14.0585819,0,0,0
14.2511656,0,0,0
14.4437484,0,0,0
14.6363321,0,0,0
14.8289159,0,0,0
15.0214987,0,0,0
15.2140824,0,0,0
15.4066662,0,0,0
15.5992481,0,0,0
15.7918318,0,0,0
