Time (s),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
1.54066648e-10,0,0,0
3.08133297e-10,0,0,0
4.62199973e-10,0,0,0
6.16266593e-10,0,0,0
7.70333297e-10,0,0,0
9.24399945e-10,0,0,0
1.07846654e-09,0,0,0
1.23253319e-09,0,0,0
1.38659983e-09,0,0,0
1.54066659e-09,0,0,0
1.69473324e-09,0,0,0
1.84879989e-09,0,0,0
2.00286654e-09,0,0,0
2.15693308e-09,0,0,0
2.31099984e-09,0,0,0
2.46506637e-09,0,0,0
2.61913313e-09,0,0,0
2.77319967e-09,0,0,0
2.92726643e-09,0,0,0
3.08133319e-09,0,0,0
3.23539973e-09,0,0,0
3.38946649e-09,0,0,0
3.54353302e-09,0,0,0
3.69759978e-09,0,0,0
3.85166654e-09,0,0,0
4.00573308e-09,0,0,0
4.15979962e-09,0,0,0
4.31386615e-09,0,0,0
4.46793313e-09,0,0,0
4.62199967e-09,0,0,0
4.77606621e-09,0,0,0
4.93013275e-09,0,0,0
5.08419973e-09,0,0,0
5.23826627e-09,0,0,0
5.3923328e-09,0,0,0
5.54639934e-09,0,0,0
5.70046632e-09,0,0,0
5.85453286e-09,0,0,0
6.0085994e-09,0,0,0
6.16266638e-09,0,0,0
6.31673291e-09,0,0,0
6.47079945e-09,0,0,0
6.62486599e-09,0,0,0
6.77893297e-09,0,0,0
6.93299951e-09,0,0,0
7.08706605e-09,0,0,0
7.24113258e-09,0,0,0
7.39519956e-09,0,0,0
7.5492661e-09,0,0,0
7.70333308e-09,0,0,0
7.85739918e-09,0,0,0
8.01146616e-09,0,0,0
8.16553225e-09,0,0,0
8.31959923e-09,0,0,0
8.47366621e-09,0,0,0
8.62773231e-09,0,0,0
8.78179929e-09,0,0,0
8.93586627e-09,0,0,0
9.08993236e-09,0,0,0
9.24399934e-09,0,0,0
9.39806633e-09,0,0,0
9.55213242e-09,0,0,0
9.7061994e-09,0,0,0
9.86026549e-09,0,0,0
1.00143325e-08,0,0,0
1.01683995e-08,0,0,0
1.03224655e-08,0,0,0
1.04765325e-08,0,0,0
1.06305995e-08,0,0,0
1.07846656e-08,0,0,0
1.09387326e-08,0,0,0
1.10927987e-08,0,0,0
1.12468657e-08,0,0,0
1.14009326e-08,0,0,0
1.15549987e-08,0,0,0
1.17090657e-08,0,0,0
1.18631327e-08,0,0,0
1.20171988e-08,0,0,0
1.21712658e-08,0,0,0
1.23253328e-08,0,0,0
1.24793988e-08,0,0,0
1.26334658e-08,0,0,0
1.27875319e-08,0,0,0
1.29415989e-08,0,0,0
1.30956659e-08,0,0,0
1.3249732e-08,0,0,0
1.3403799e-08,0,0,0
1.35578659e-08,0,0,0
1.3711932e-08,0,0,0
1.3865999e-08,0,0,0
1.40200651e-08,0,0,0
1.41741321e-08,0,0,0
1.43281991e-08,0,0,0
1.44822652e-08,0,0,0
1.46363321e-08,0,0,0
1.47903991e-08,0,0,0
1.49444652e-08,0,0,0
1.50985322e-08,0,0,0
1.52525992e-08,0,0,0
1.54066662e-08,0,0,0
1.55607314e-08,0,0,0
1.57147984e-08,0,0,0
1.58688653e-08,0,0,0
1.60229323e-08,0,0,0
1.61769993e-08,0,0,0
1.63310645e-08,0,0,0
1.64851315e-08,0,0,0
1.66391985e-08,0,0,0
1.67932654e-08,0,0,0
1.69473324e-08,0,0,0
1.71013994e-08,0,0,0
1.72554646e-08,0,0,0
1.74095316e-08,0,0,0
1.75635986e-08,0,0,0
1.77176656e-08,0,0,0
1.78717325e-08,0,0,0
1.80257977e-08,0,0,0
1.81798647e-08,0,0,0
1.83339317e-08,0,0,0
1.84879987e-08,0,0,0
1.86420657e-08,0,0,0
1.87961327e-08,0,0,0
1.89501979e-08,0,0,0
1.91042648e-08,0,0,0
1.92583318e-08,0,0,0
1.94123988e-08,0,0,0
1.95664658e-08,0,0,0
1.9720531e-08,0,0,0
1.9874598e-08,0,0,0
2.00286649e-08,0,0,0
2.01827319e-08,0,0,0
2.03367989e-08,0,0,0
2.04908659e-08,0,0,0
2.06449311e-08,0,0,0
2.07989981e-08,0,0,0
2.09530651e-08,0,0,0
2.1107132e-08,0,0,0
2.1261199e-08,0,0,0
2.14152642e-08,0,0,0
2.15693312e-08,0,0,0
2.17233982e-08,0,0,0
2.18774652e-08,0,0,0
2.20315322e-08,0,0,0
2.21855974e-08,0,0,0
2.23396643e-08,0,0,0
2.24937313e-08,0,0,0
2.26477983e-08,0,0,0
2.28018653e-08,0,0,0
2.29559323e-08,0,0,0
2.31099975e-08,0,0,0
2.32640645e-08,0,0,0
2.34181314e-08,0,0,0
2.35721984e-08,0,0,0
2.37262654e-08,0,0,0
2.38803306e-08,0,0,0
2.40343976e-08,0,0,0
2.41884646e-08,0,0,0
2.43425315e-08,0,0,0
2.44965985e-08,0,0,0
2.46506655e-08,0,0,0
2.48047307e-08,0,0,0
2.49587977e-08,0,0,0
2.51128647e-08,0,0,0
2.52669317e-08,0,0,0
2.54209986e-08,0,0,0
2.55750638e-08,0,0,0
2.57291308e-08,0,0,0
2.58831978e-08,0,0,0
2.60372648e-08,0,0,0
2.61913318e-08,0,0,0
2.63453988e-08,0,0,0
2.6499464e-08,0,0,0
2.66535309e-08,0,0,0
2.68075979e-08,0,0,0
2.69616649e-08,0,0,0
2.71157319e-08,0,0,0
2.72697971e-08,0,0,0
2.74238641e-08,0,0,0
2.7577931e-08,0,0,0
2.7731998e-08,0,0,0
2.7886065e-08,0,0,0
2.80401302e-08,0,0,0
2.81941972e-08,0,0,0
2.83482642e-08,0,0,0
2.85023312e-08,0,0,0
2.86563981e-08,0,0,0
2.88104651e-08,0,0,0
2.89645303e-08,0,0,0
2.91185973e-08,0,0,0
2.92726643e-08,0,0,0
2.94267313e-08,0,0,0
2.95807983e-08,0,0,0
2.97348635e-08,0,0,0
2.98889304e-08,0,0,0
3.00429974e-08,0,0,0
3.01970644e-08,0,0,0
3.03511314e-08,0,0,0
3.05051984e-08,0,0,0
3.06592653e-08,0,0,0
3.08133323e-08,0,0,0
3.09673958e-08,0,0,0
3.11214627e-08,0,0,0
3.12755297e-08,0,0,0
3.14295967e-08,0,0,0
3.15836637e-08,0,0,0
3.17377307e-08,0,0,0
3.18917976e-08,0,0,0
3.20458646e-08,0,0,0
3.21999316e-08,0,0,0
3.23539986e-08,0,0,0
3.25080656e-08,0,0,0
3.2662129e-08,0,0,0
3.2816196e-08,0,0,0
3.2970263e-08,0,0,0
3.31243299e-08,0,0,0
3.32783969e-08,0,0,0
3.34324639e-08,0,0,0
3.35865309e-08,0,0,0
3.37405979e-08,0,0,0
3.38946649e-08,0,0,0
3.40487318e-08,0,0,0
3.42027988e-08,0,0,0
3.43568622e-08,0,0,0
3.45109292e-08,0,0,0
3.46649962e-08,0,0,0
3.48190632e-08,0,0,0
3.49731302e-08,0,0,0
3.51271972e-08,0,0,0
3.52812641e-08,0,0,0
3.54353311e-08,0,0,0
3.55893981e-08,0,0,0
3.57434651e-08,0,0,0
3.58975321e-08,0,0,0
3.60515955e-08,0,0,0
3.62056625e-08,0,0,0
3.63597294e-08,0,0,0
3.65137964e-08,0,0,0
3.66678634e-08,0,0,0
3.68219304e-08,0,0,0
3.69759974e-08,0,0,0
3.71300644e-08,0,0,0
3.72841313e-08,0,0,0
3.74381983e-08,0,0,0
3.75922653e-08,0,0,0
3.77463287e-08,0,0,0
3.79003957e-08,0,0,0
3.80544627e-08,0,0,0
3.82085297e-08,0,0,0
3.83625967e-08,0,0,0
3.85166636e-08,0,0,0
3.86707306e-08,0,0,0
3.88247976e-08,0,0,0
3.89788646e-08,0,0,0
3.91329316e-08,0,0,0
3.92869985e-08,0,0,0
3.9441062e-08,0,0,0
3.9595129e-08,0,0,0
3.97491959e-08,0,0,0
3.99032629e-08,0,0,0
4.00573299e-08,0,0,0
4.02113969e-08,0,0,0
4.03654639e-08,0,0,0
4.05195308e-08,0,0,0
4.06735978e-08,0,0,0
4.08276648e-08,0,0,0
4.09817318e-08,0,0,0
4.11357952e-08,0,0,0
4.12898622e-08,0,0,0
4.14439292e-08,0,0,0
4.15979962e-08,0,0,0
4.17520631e-08,0,0,0
4.19061301e-08,0,0,0
4.20601971e-08,0,0,0
4.22142641e-08,0,0,0
4.23683311e-08,0,0,0
4.2522398e-08,0,0,0
4.26764615e-08,0,0,-6.33374379e-35
4.28305285e-08,4.30705966e-36,-1.18781164e-35,-3.19723664e-33
4.29845954e-08,1.3479714e-34,-4.57207793e-34,-1.12397725e-31
4.31386624e-08,3.88788328e-33,-1.46425953e-32,-3.59780791e-30
4.32927294e-08,1.11002731e-31,-4.16176581e-31,-1.05098659e-28
4.34467964e-08,2.89155116e-30,-1.07641067e-29,-2.79918163e-27
4.36008634e-08,6.84610438e-29,-2.53197315e-28,-6.78964199e-26
4.37549303e-08,1.47107113e-27,-5.40941336e-27,-1.49798533e-24
4.39089973e-08,2.86426551e-26,-1.04812164e-25,-3.00214428e-23
4.40630643e-08,5.04539756e-25,-1.83897598e-24,-5.45745687e-22
4.42171313e-08,8.02548746e-24,-2.91684444e-23,-8.98478008e-21
4.43711947e-08,1.15069663e-22,-4.17490409e-22,-1.33739234e-19
4.45252617e-08,1.48441277e-21,-5.38257653e-21,-1.79669895e-18
4.46793287e-08,1.71955954e-20,-6.23923531e-20,-2.17444905e-17
4.48333957e-08,1.78554845e-19,-6.48969771e-19,-2.36618019e-16
4.49874626e-08,1.65938945e-18,-6.04698889e-18,-2.31066056e-15
4.51415296e-08,1.37899942e-17,-5.03974049e-17,-2.02123677e-14
4.52955966e-08,1.02482258e-16,-3.75291394e-16,-1.5812327e-13
4.54496636e-08,6.81961155e-16,-2.49672935e-15,-1.10504292e-12
4.56037306e-08,4.07776653e-15,-1.4855086e-14,-6.89648599e-12
4.57577976e-08,2.20356604e-14,-7.92715299e-14,-3.84739809e-11
4.59118645e-08,1.08489105e-13,-3.8133342e-13,-1.92420038e-10
4.6065928e-08,4.91178495e-13,-1.665898e-12,-8.67393213e-10
4.62199949e-08,2.06091676e-12,-6.66985998e-12,-3.55295371e-09
4.63740619e-08,8.05539403e-12,-2.47019159e-11,-1.33595259e-08
4.65281289e-08,2.94029592e-11,-8.52690626e-11,-4.65890615e-08
4.66821959e-08,1.00349659e-10,-2.75640871e-10,-1.51841675e-07
4.68362629e-08,3.21178972e-10,-8.36030578e-10,-4.6397264e-07
4.69903298e-08,9.6726005e-10,-2.37916775e-09,-1.32803791e-06
4.71443968e-08,2.74525935e-09,-6.34389741e-09,-3.55077987e-06
4.72984638e-08,7.32644079e-09,-1.58098317e-08,-8.84194742e-06
4.74525308e-08,1.82991347e-08,-3.67037138e-08,-2.04494681e-05
4.76065978e-08,4.25723989e-08,-7.90947894e-08,-4.37861308e-05
4.77606612e-08,9.18559664e-08,-1.57558162e-07,-8.64311951e-05
4.79147282e-08,1.82828231e-07,-2.88508318e-07,-0.000156392271
4.80687952e-08,3.33128071e-07,-4.81814141e-07,-0.000257367734
4.82228621e-08,5.50000038e-07,-7.25812868e-07,-0.000380700134
4.83769291e-08,8.10855454e-07,-9.70248038e-07,-0.000496443303
4.85309961e-08,1.04304559e-06,-1.12103226e-06,-0.000549904827
4.86850631e-08,1.12182636e-06,-1.06731898e-06,-0.000472253276
4.88391301e-08,9.13561905e-07,-7.5457973e-07,-0.000210029189
4.89931971e-08,3.74347479e-07,-2.82847424e-07,0.00023357397
4.9147264e-08,-3.34530142e-07,4.24667022e-08,0.000768234488
4.9301331e-08,-8.11353971e-07,-1.92633308e-07,0.00122546649
4.94553944e-08,-5.71570638e-07,-1.21750372e-06,0.00142018811
4.96094614e-08,5.91032688e-07,-2.69548423e-06,0.00124318607
4.97635284e-08,2.22649669e-06,-3.5375765e-06,0.000731529843
4.99175954e-08,3.16891942e-06,-2.22125118e-06,6.59069483e-05
5.00716624e-08,2.03596892e-06,2.33890046e-06,-0.000513165956
5.02257294e-08,-1.86702914e-06,9.77240688e-06,-0.000822458358
5.03797963e-08,-7.81807921e-06,1.77977454e-05,-0.000814901607
5.05338633e-08,-1.37501884e-05,2.28590707e-05,-0.000577465224
5.06879303e-08,-1.72291529e-05,2.17105571e-05,-0.000262327696
5.08419973e-08,-1.66971877e-05,1.31281849e-05,-4.28167004e-06
5.09960643e-08,-1.20666773e-05,-1.25050019e-06,0.00012804498
5.11501277e-08,-4.29071133e-06,-1.74174329e-05,0.000134420829
5.13041947e-08,5.51904577e-06,-3.04978312e-05,5.67761635e-05
5.14582617e-08,1.64280009e-05,-3.64986954e-05,-5.05445896e-05
5.16123286e-08,2.70874352e-05,-3.36161684e-05,-0.00014058876
5.17663956e-08,3.49512266e-05,-2.27694636e-05,-0.00018330515
5.19204626e-08,3.65092565e-05,-7.27353654e-06,-0.000169044448
5.20745296e-08,2.8978413e-05,8.30293629e-06,-0.000107965017
5.22285966e-08,1.24789822e-05,1.98008674e-05,-2.44462481e-05
5.23826635e-08,-8.98669896e-06,2.49936984e-05,5.34498613e-05
5.25367305e-08,-2.8758086e-05,2.41739854e-05,0.000105673731
5.26907975e-08,-4.04183629e-05,1.9445506e-05,0.0001268755
5.28448609e-08,-4.07036932e-05,1.31736751e-05,0.000124051236
5.29989279e-08,-3.07792579e-05,6.6410139e-06,0.000107276428
5.31529949e-08,-1.52893899e-05,-1.79036249e-07,8.09670237e-05
5.33070619e-08,1.13328269e-07,-7.61083402e-06,4.27563209e-05
5.34611289e-08,1.13172573e-05,-1.48744784e-05,-9.43990563e-06
5.36151958e-08,1.7064669e-05,-1.95700813e-05,-6.8980662e-05
5.37692628e-08,1.85637255e-05,-1.87975165e-05,-0.000119089425
5.39233298e-08,1.79307826e-05,-1.13585393e-05,-0.000140919714
5.40773968e-08,1.65741549e-05,5.80115397e-07,-0.000125237784
5.42314638e-08,1.45299991e-05,1.19059787e-05,-7.86661913e-05
5.43855272e-08,1.102852e-05,1.71582215e-05,-1.97441532e-05
5.45395942e-08,5.70791872e-06,1.37741663e-05,3.20498912e-05
5.46936612e-08,-5.95275253e-07,3.84295345e-06,6.62322855e-05
5.48477281e-08,-6.20180117e-06,-6.83691633e-06,8.3622348e-05
5.50017951e-08,-9.84215239e-06,-1.19149745e-05,9.04480476e-05
5.51558621e-08,-1.16850924e-05,-8.0572654e-06,8.98694852e-05
5.53099291e-08,-1.31065526e-05,3.09048914e-06,7.84249569e-05
5.54639961e-08,-1.52542034e-05,1.56462993e-05,5.07380682e-05
5.5618063e-08,-1.76354861e-05,2.25855074e-05,8.54763312e-06
5.577213e-08,-1.81055584e-05,1.94933364e-05,-3.46081833e-05
5.5926197e-08,-1.44774413e-05,6.86346766e-06,-5.90634372e-05
5.60802604e-08,-6.54783207e-06,-1.03579914e-05,-5.24283205e-05
5.62343274e-08,3.15522766e-06,-2.55779705e-05,-2.05766592e-05
5.63883944e-08,1.06605803e-05,-3.37929487e-05,1.34575585e-05
5.65424614e-08,1.30539811e-05,-3.32343006e-05,2.35996231e-05
5.66965284e-08,1.0427173e-05,-2.48516644e-05,-1.43397756e-06
5.68505953e-08,5.89473939e-06,-1.08251243e-05,-4.93327389e-05
5.70046623e-08,3.61743696e-06,6.260394e-06,-9.10318049e-05
5.71587293e-08,6.10547704e-06,2.31539834e-05,-9.88382453e-05
5.73127963e-08,1.25480638e-05,3.57090139e-05,-6.37670018e-05
5.74668633e-08,1.92566094e-05,3.99131568e-05,-7.96007953e-07
5.76209302e-08,2.19722551e-05,3.39779908e-05,6.06328977e-05
5.77749937e-08,1.85537738e-05,1.98600355e-05,9.37506484e-05
5.79290607e-08,1.02726262e-05,2.72861485e-06,8.78860446e-05
5.80831276e-08,8.81389496e-07,-1.14790528e-05,5.07914374e-05
5.82371946e-08,-5.86410806e-06,-1.88039394e-05,9.98842552e-07
5.83912616e-08,-8.50899232e-06,-1.86971956e-05,-4.2627762e-05
5.85453286e-08,-8.50179367e-06,-1.36849221e-05,-6.7453766e-05
5.86993956e-08,-8.81437427e-06,-7.84397253e-06,-6.83485996e-05
5.88534625e-08,-1.16672154e-05,-4.89952754e-06,-4.65382655e-05
5.90075295e-08,-1.6921038e-05,-6.54122505e-06,-8.77355342e-06
5.91615965e-08,-2.21149694e-05,-1.15307876e-05,3.34266115e-05
5.93156635e-08,-2.3951101e-05,-1.62013821e-05,6.63008177e-05
5.94697269e-08,-2.01598104e-05,-1.64146732e-05,7.84322692e-05
5.96237939e-08,-1.06307998e-05,-1.00385969e-05,6.52310991e-05
5.97778609e-08,2.59765534e-06,1.60939749e-06,3.0771469e-05
5.99319279e-08,1.61191419e-05,1.434961e-05,-1.36229446e-05
6.00859948e-08,2.61197474e-05,2.33771862e-05,-5.29325807e-05
6.02400618e-08,2.9309218e-05,2.57138217e-05,-7.29781386e-05
6.03941288e-08,2.39526526e-05,2.1440921e-05,-6.53914467e-05
6.05481958e-08,1.09166103e-05,1.31709048e-05,-3.18669845e-05
6.07022628e-08,-5.92925335e-06,4.27860323e-06,1.4847189e-05
6.08563298e-08,-2.07113935e-05,-2.94740335e-06,5.53906139e-05
6.10103967e-08,-2.79469314e-05,-8.12343478e-06,7.27194711e-05
6.11644637e-08,-2.51789479e-05,-1.21322164e-05,6.08349364e-05
6.13185307e-08,-1.42511317e-05,-1.56254155e-05,2.78474436e-05
6.14725977e-08,-3.24476559e-07,-1.794745e-05,-8.78712217e-06
6.16266647e-08,1.08567283e-05,-1.74686065e-05,-3.20497893e-05
6.17807316e-08,1.58535913e-05,-1.30923363e-05,-3.43329666e-05
6.19347915e-08,1.49164316e-05,-5.57198837e-06,-2.05067972e-05
6.20888585e-08,1.11581476e-05,2.65698282e-06,-3.64777179e-06
6.22429255e-08,8.17240925e-06,9.07514186e-06,3.67852704e-06
6.23969925e-08,7.68186146e-06,1.2673695e-05,-2.90126081e-06
6.25510594e-08,8.71124575e-06,1.41348883e-05,-1.7674347e-05
6.27051264e-08,8.67437848e-06,1.45558297e-05,-2.96069866e-05
6.28591934e-08,5.43188526e-06,1.40420161e-05,-3.01220061e-05
6.30132604e-08,-1.18470302e-06,1.15291496e-05,-1.84057626e-05
6.31673274e-08,-9.28548252e-06,5.96564678e-06,-1.02580384e-06
6.33213944e-08,-1.60550062e-05,-2.24450287e-06,1.30443723e-05
6.34754613e-08,-1.91864565e-05,-1.0816746e-05,1.80352854e-05
6.36295283e-08,-1.77988113e-05,-1.65810488e-05,1.4095629e-05
6.37835953e-08,-1.25619663e-05,-1.72080909e-05,6.19736556e-06
6.39376623e-08,-5.18562047e-06,-1.25304659e-05,6.65742277e-07
6.40917293e-08,2.35919742e-06,-4.67732525e-06,1.57762861e-06
6.42457962e-08,8.49615753e-06,2.98304485e-06,8.73044428e-06
6.43998632e-08,1.22880301e-05,7.4507675e-06,1.7938708e-05
6.45539302e-08,1.3329789e-05,7.44043246e-06,2.33743958e-05
6.47079972e-08,1.16270166e-05,3.88025137e-06,2.07992325e-05
6.48620642e-08,7.73911688e-06,-6.08528808e-07,9.98488576e-06
6.50161311e-08,2.97964721e-06,-3.02815806e-06,-5.01554314e-06
6.51701981e-08,-8.19573131e-07,-1.54586849e-06,-1.7968734e-05
6.5324258e-08,-2.17894467e-06,3.48940307e-06,-2.37265849e-05
6.5478325e-08,-9.47356966e-07,9.63391449e-06,-2.08149831e-05
