Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153731847,0,0,0
0.307463693,0,0,0
0.461195554,0,0,0
0.614927387,0,0,0
0.768659247,0,0,0
0.922391108,0,0,0
1.07612297,0,0,0
1.22985477,0,0,0
1.38358669,0,0,0
1.53731849,0,0,0
1.6910503,0,0,0
1.84478222,0,0,0
1.99851402,0,0,0
2.15224594,0,0,0
2.30597763,0,0,0
2.45970955,0,0,0
2.61344146,0,0,0
2.76717338,0,0,0
2.92090507,0,0,0
3.07463699,0,0,0
3.22836891,0,0,0
3.3821006,0,0,0
3.53583252,0,0,0
3.68956443,0,0,0
3.84329635,0,0,0
3.99702804,0,0,0
4.15075974,0,0,0
4.30449187,0,0,0
4.45822357,0,0,0
4.61195526,0,0,0
4.7656874,0,0,0
4.91941909,0,0,0
5.07315079,0,0,0
5.22688293,0,0,0
5.38061462,0,0,0
5.53434676,0,0,0
5.68807845,0,0,0
5.84181015,0,0,0
5.99554228,0,0,0
6.14927398,0,0,0
6.30300567,0,0,0
6.45673781,0,0,0
6.61046951,0,0,0
6.7642012,0,0,0
6.91793334,0,0,0
7.07166503,0,0,0
7.22539673,0,0,0
7.37912886,0,0,0
7.53286056,0,0,0
7.6865927,0,0,0
7.84032395,0,0,0
7.99405608,0,0,0
8.14778822,0,0,0
8.30151947,0,0,0
8.45525161,0,0,0
8.60898375,0,0,0
8.762715,0,0,0
8.91644714,0,0,0
9.07017927,0,0,0
9.22391052,0,0,0
9.37764266,0,0,0
9.5313748,0,0,0
9.68510605,0,0,0
9.83883819,0,0,0
9.99257033,0,0,0
10.1463016,0,0,0
10.3000337,0,0,0
10.4537659,0,0,0
10.6074971,0,0,0
10.7612292,0,0,0
10.9149614,0,0,0
11.0686935,0,0,0
11.2224248,0,0,0
11.3761569,0,0,0
11.529889,0,0,0
11.6836203,0,0,0
11.8373524,0,0,0
11.9910846,0,0,0
12.1448158,0,0,0
12.298548,0,0,0
12.4522801,0,0,0
12.6060113,0,0,0
12.7597435,0,0,0
12.9134756,0,0,0
13.0672069,0,0,0
13.220939,0,0,0
13.3746711,0,0,0
13.5284024,0,0,0
13.6821345,0,0,0
13.8358667,0,0,0
13.9895979,0,0,0
14.1433301,0,0,0
14.2970622,0,0,0
14.4507935,0,0,0
14.6045256,0,0,0
14.7582577,0,0,0
14.9119899,0,0,0
15.0657211,0,0,0
15.2194524,0,0,0
15.3731854,0,0,0
15.5269166,0,0,0
15.6806479,0,0,0
15.8343809,0,0,0
15.9881122,0,0,0
16.1418434,0,0,0
16.2955764,0,0,0
16.4493077,0,0,0
16.6030389,0,0,0
16.756772,0,0,0
16.9105032,0,0,0
17.0642345,0,0,0
17.2179675,0,0,0
17.3716987,0,0,0
17.52543,0,0,0
17.679163,0,0,0
17.8328943,0,0,0
17.9866255,0,0,0
18.1403585,0,0,0
18.2940898,0,0,0
18.447821,0,0,0
18.6015541,0,0,0
18.7552853,0,0,0
18.9090166,0,0,0
19.0627496,0,0,0
19.2164809,0,0,0
19.3702121,0,0,0
19.5239451,0,0,0
19.6776764,0,0,0
19.8314076,0,0,0
19.9851407,0,0,0
20.1388719,0,0,0
20.2926032,0,0,0
20.4463362,0,0,0
20.6000674,0,0,0
20.7537987,0,0,0
20.9075317,0,0,0
21.061263,0,0,0
21.2149942,0,0,0
21.3687272,0,0,0
21.5224585,0,0,0
21.6761915,0,0,0
21.8299228,0,0,0
21.983654,0,0,0
22.137387,0,0,0
22.2911183,0,0,0
22.4448495,0,0,0
22.5985826,0,0,0
22.7523138,0,0,0
22.9060451,0,0,0
23.0597781,0,0,0
23.2135093,0,0,0
23.3672406,0,0,0
