Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153634758,0,0,0
0.307269515,0,0,0
0.460904259,0,0,0
0.614539031,0,0,0
0.768173747,0,0,0
0.921808518,0,0,0
1.07544329,0,0,0
1.22907806,0,0,0
1.38271272,0,0,0
1.53634749,0,0,0
1.68998227,0,0,0
1.84361704,0,0,0
1.9972517,0,0,0
2.15088658,0,0,0
2.30452124,0,0,0
2.45815612,0,0,0
2.61179078,0,0,0
2.76542544,0,0,0
2.91906033,0,0,0
3.07269499,0,0,0
3.22632987,0,0,0
3.37996453,0,0,0
3.53359919,0,0,0
3.68723407,0,0,0
3.84086896,0,0,0
3.99450339,0,0,0
4.14813828,0,0,0
4.30177316,0,0,0
4.4554076,0,0,0
4.60904248,0,0,0
4.76267736,0,0,0
4.91631225,0,0,0
5.06994668,0,0,0
5.22358157,0,0,0
5.37721645,0,0,0
5.53085089,0,0,0
5.68448577,0,0,0
5.83812065,0,0,0
5.99175509,0,0,0
6.14538997,0,0,0
6.29902486,0,0,0
6.45265974,0,0,0
6.60629418,0,0,0
6.75992906,0,0,0
6.91356394,0,0,0
7.06719838,0,0,0
7.22083326,0,0,0
7.37446815,0,0,0
7.52810259,0,0,0
7.68173791,0,0,0
7.83537235,0,0,0
7.98900679,0,0,0
8.14264212,0,0,0
8.29627655,0,0,0
8.44991099,0,0,0
8.60354632,0,0,0
8.75718076,0,0,0
8.9108152,0,0,0
9.06445052,0,0,0
9.21808496,0,0,0
9.3717194,0,0,0
9.52535473,0,0,0
9.67898917,0,0,0
9.83262449,0,0,0
9.98625893,0,0,0
10.1398934,0,0,0
10.2935287,0,0,0
10.4471631,0,0,0
10.6007976,0,0,0
10.7544329,0,0,0
10.9080673,0,0,0
11.0617018,0,0,0
11.2153371,0,0,0
11.3689715,0,0,0
11.522606,0,0,0
11.6762413,0,0,0
11.8298757,0,0,0
11.9835102,0,0,0
12.1371455,0,0,0
12.2907799,0,0,0
12.4444144,0,0,0
12.5980497,0,0,0
12.7516842,0,0,0
12.9053195,0,0,0
13.0589539,0,0,0
13.2125884,0,0,0
13.3662237,0,0,0
13.5198581,0,0,0
13.6734926,0,0,0
13.8271279,0,0,0
13.9807623,0,0,0
14.1343968,0,0,0
14.2880321,0,0,0
14.4416665,0,0,0
14.595301,0,0,0
14.7489363,0,0,0
14.9025716,0,0,0
15.0562052,0,0,0
15.2098405,0,0,0
15.3634758,0,0,0
15.5171094,0,0,0
15.6707447,0,0,0
15.82438,0,0,0
15.9780136,0,0,0
16.1316489,0,0,0
16.2852842,0,0,0
16.4389178,0,0,0
16.5925531,0,0,0
16.7461884,0,0,0
16.899822,0,0,0
17.0534573,0,0,0
17.2070926,0,0,0
17.3607262,0,0,0
17.5143615,0,0,0
17.6679968,0,0,0
17.8216304,0,0,0
17.9752657,0,0,0
18.128901,0,0,0
18.2825346,0,0,0
18.4361699,0,0,0
18.5898053,0,0,0
18.7434388,0,0,0
18.8970741,0,0,0
19.0507095,0,0,0
19.204343,0,0,0
19.3579783,0,0,0
19.5116137,0,0,0
19.665249,0,0,0
19.8188825,0,0,0
19.9725179,0,0,0
20.1261532,0,0,0
20.2797867,0,0,0
20.4334221,0,0,0
20.5870574,0,0,0
20.7406909,0,0,0
20.8943263,0,0,0
21.0479616,0,0,0
21.2015951,0,0,0
21.3552305,0,0,0
21.5088658,0,0,0
21.6624993,0,0,0
21.8161347,0,0,0
21.96977,0,0,0
22.1234036,0,0,0
22.2770389,0,0,0
22.4306742,0,0,0
22.5843078,0,0,0
22.7379431,0,0,0
22.8915784,0,0,0
23.045212,0,0,0
23.1988473,0,0,0
23.3524826,0,0,0
23.5061162,0,0,0
23.6597515,0,0,0
23.8133868,0,0,0
23.9670204,0,0,0
24.1206557,0,0,0
24.274291,0,0,0
24.4279246,0,0,0
24.5815599,0,0,0
24.7351952,0,0,0
24.8888288,0,0,0
25.0424641,0,0,0
25.1960994,0,0,0
25.3497348,0,0,0
25.5033683,0,0,0
25.6570036,0,0,0
25.810639,0,0,0
25.9642725,0,0,0
26.1179078,0,0,0
26.2715432,0,0,0
26.4251767,0,0,0
26.578812,0,0,0
26.7324474,0,0,0
26.8860809,0,0,0
27.0397162,0,0,0
27.1933516,0,0,0
27.3469851,0,0,0
27.5006204,0,0,0
27.6542558,0,0,0
27.8078893,0,0,0
27.9615247,0,0,0
28.11516,0,0,0
28.2687935,0,0,0
