Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153711946,0,0,0
0.307423892,0,0,0
0.461135824,0,0,0
0.614847784,0,0,0
0.768559716,0,0,0
0.922271648,0,0,0
1.07598352,0,0,0
1.22969557,0,0,0
1.3834075,0,0,0
1.53711943,0,0,0
1.69083136,0,0,0
1.8445433,0,0,0
1.99825512,0,0,0
2.15196705,0,0,0
2.3056792,0,0,0
2.45939114,0,0,0
2.61310307,0,0,0
2.766815,0,0,0
2.92052693,0,0,0
3.07423886,0,0,0
3.2279508,0,0,0
3.38166273,0,0,0
3.53537466,0,0,0
3.68908659,0,0,0
3.84279852,0,0,0
3.99651023,0,0,0
4.15022239,0,0,0
4.3039341,0,0,0
4.45764625,0,0,0
4.61135841,0,0,0
4.76507012,0,0,0
4.91878227,0,0,0
5.07249398,0,0,0
5.22620613,0,0,0
5.37991784,0,0,0
5.53363,0,0,0
5.68734171,0,0,0
5.84105386,0,0,0
5.99476557,0,0,0
6.14847773,0,0,0
6.30218944,0,0,0
6.45590159,0,0,0
6.6096133,0,0,0
6.76332546,0,0,0
6.91703717,0,0,0
7.07074932,0,0,0
7.22446103,0,0,0
7.37817318,0,0,0
7.53188534,0,0,0
7.68559705,0,0,0
7.83930876,0,0,0
7.99302047,0,0,0
8.14673307,0,0,0
8.30044478,0,0,0
8.45415649,0,0,0
8.6078682,0,0,0
8.76158079,0,0,0
8.9152925,0,0,0
9.06900421,0,0,0
9.22271681,0,0,0
9.37642852,0,0,0
9.53014023,0,0,0
9.68385194,0,0,0
9.83756454,0,0,0
9.99127625,0,0,0
10.144988,0,0,0
10.2986997,0,0,0
10.4524123,0,0,0
10.606124,0,0,0
10.7598357,0,0,0
10.9135474,0,0,0
11.06726,0,0,0
11.2209717,0,0,0
11.3746834,0,0,0
11.5283951,0,0,0
11.6821077,0,0,0
11.8358194,0,0,0
11.9895311,0,0,0
12.1432429,0,0,0
12.2969555,0,0,0
12.4506672,0,0,0
12.6043789,0,0,0
12.7580906,0,0,0
12.9118032,0,0,0
13.0655149,0,0,0
13.2192266,0,0,0
13.3729383,0,0,0
13.5266509,0,0,0
13.6803626,0,0,0
13.8340743,0,0,0
13.9877869,0,0,0
14.1414986,0,0,0
14.2952103,0,0,0
14.4489221,0,0,0
14.6026347,0,0,0
14.7563464,0,0,0
14.910059,0,0,0
15.0637707,0,0,0
15.2174824,0,0,0
15.3711941,0,0,0
15.5249058,0,0,0
15.6786175,0,0,0
15.8323292,0,0,0
15.9860409,0,0,0
16.1397544,0,0,0
16.2934661,0,0,0
16.4471778,0,0,0
16.6008896,0,0,0
16.7546013,0,0,0
16.908313,0,0,0
17.0620247,0,0,0
17.2157364,0,0,0
17.3694499,0,0,0
17.5231616,0,0,0
17.6768733,0,0,0
17.830585,0,0,0
17.9842967,0,0,0
18.1380084,0,0,0
18.2917201,0,0,0
18.4454336,0,0,0
18.5991453,0,0,0
18.752857,0,0,0
18.9065688,0,0,0
19.0602805,0,0,0
19.2139922,0,0,0
19.3677039,0,0,0
19.5214156,0,0,0
19.6751291,0,0,0
19.8288408,0,0,0
19.9825525,0,0,0
20.1362642,0,0,0
20.2899759,0,0,0
20.4436876,0,0,0
20.5973993,0,0,0
20.7511111,0,0,0
20.9048245,0,0,0
21.0585362,0,0,0
21.212248,0,0,0
21.3659597,0,0,0
21.5196714,0,0,0
21.6733831,0,0,0
21.8270948,0,0,0
21.9808065,0,0,0
22.13452,0,0,0
22.2882317,0,0,0
22.4419434,0,0,0
22.5956551,0,0,0
22.7493668,0,0,0
22.9030785,0,0,0
23.0567903,0,0,0
23.2105037,0,0,0
23.3642155,0,0,0
23.5179272,0,0,0
23.6716389,0,0,0
23.8253506,0,0,0
23.9790623,0,0,0
24.132774,0,0,0
24.2864857,0,0,0
24.4401992,0,0,0
24.5939109,0,0,0
24.7476226,0,0,0
24.9013343,0,0,0
25.055046,0,0,0
25.2087577,0,0,0
25.3624695,0,0,0
25.5161812,0,0,0
25.6698947,0,0,0
25.8236064,0,0,0
25.9773181,0,0,0
26.1310298,0,0,0
26.2847415,0,0,0
26.4384532,0,0,0
26.5921649,0,0,0
26.7458766,0,0,0
26.8995901,0,0,0
27.0533018,0,0,0
27.2070135,0,0,0
27.3607252,0,0,0
27.514437,0,0,0
27.6681487,0,0,0
27.8218604,0,0,0
27.9755739,0,0,0
28.1292856,0,0,0
