Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153569879,0,0,0
0.307139758,0,0,0
0.460709637,0,0,0
0.614279516,0,0,0
0.767849395,0,0,0
0.921419274,0,0,0
1.0749891,0,0,0
1.22855903,0,0,0
1.38212886,0,0,0
1.53569879,0,0,0
1.68926861,0,0,0
1.84283855,0,0,0
1.99640837,0,0,0
2.1499782,0,0,0
2.30354824,0,0,0
2.45711806,0,0,0
2.61068789,0,0,0
2.76425771,0,0,0
2.91782754,0,0,0
3.07139758,0,0,0
3.2249674,0,0,0
3.37853723,0,0,0
3.53210705,0,0,0
3.6856771,0,0,0
3.8392467,0,0,0
3.99281674,0,0,0
4.14638679,0,0,0
4.29995639,0,0,0
4.45352644,0,0,0
4.60709648,0,0,0
4.76066608,0,0,0
4.91423613,0,0,0
5.06780573,0,0,0
5.22137578,0,0,0
5.37494582,0,0,0
5.52851542,0,0,0
5.68208547,0,0,0
5.83565507,0,0,0
5.98922512,0,0,0
6.14279516,0,0,0
6.29636476,0,0,0
6.44993481,0,0,0
6.60350485,0,0,0
6.75707446,0,0,0
6.9106445,0,0,0
7.0642141,0,0,0
7.21778415,0,0,0
7.37135419,0,0,0
7.5249238,0,0,0
7.6784934,0,0,0
7.83206389,0,0,0
7.98563349,0,0,0
8.13920309,0,0,0
8.29277358,0,0,0
8.44634318,0,0,0
8.59991278,0,0,0
8.75348327,0,0,0
8.90705287,0,0,0
9.06062247,0,0,0
9.21419296,0,0,0
9.36776257,0,0,0
9.52133217,0,0,0
9.67490177,0,0,0
9.82847226,0,0,0
9.98204186,0,0,0
10.1356115,0,0,0
10.289182,0,0,0
10.4427516,0,0,0
10.5963212,0,0,0
10.7498916,0,0,0
10.9034612,0,0,0
11.0570308,0,0,0
11.2106013,0,0,0
11.3641709,0,0,0
11.5177405,0,0,0
11.6713101,0,0,0
11.8248806,0,0,0
11.9784502,0,0,0
12.1320198,0,0,0
12.2855903,0,0,0
12.4391599,0,0,0
12.5927295,0,0,0
12.7463,0,0,0
12.8998696,0,0,0
13.0534392,0,0,0
13.2070097,0,0,0
13.3605793,0,0,0
13.5141489,0,0,0
13.6677185,0,0,0
13.821289,0,0,0
13.9748586,0,0,0
14.1284282,0,0,0
14.2819987,0,0,0
14.4355683,0,0,0
14.5891379,0,0,0
