Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.134373637,0,0,0
0.268747274,0,0,0
0.403120926,0,0,0
0.537494549,0,0,0
0.671868228,0,0,0
0.806241851,0,0,0
0.940615474,0,0,0
1.0749891,0,0,0
1.20936272,0,0,0
1.34373646,0,0,0
1.47811008,0,0,0
1.6124837,0,0,0
1.74685733,0,0,0
1.88123095,0,0,0
2.01560457,0,0,0
2.1499782,0,0,0
2.28435182,0,0,0
2.41872544,0,0,0
2.55309929,0,0,0
2.68747291,0,0,0
2.82184653,0,0,0
2.95622016,0,0,0
3.09059378,0,0,0
3.2249674,0,0,0
3.35934103,0,0,0
3.49371465,0,0,0
3.62808827,0,0,0
3.7624619,0,0,0
3.89683574,0,0,0
4.03120914,0,0,0
4.16558299,0,0,0
4.29995639,0,0,0
4.43433024,0,0,0
4.56870364,0,0,0
4.70307748,0,0,0
4.83745088,0,0,0
4.97182473,0,0,0
5.10619858,0,0,0
5.24057198,0,0,0
5.37494582,0,0,0
5.50931922,0,0,0
5.64369307,0,0,0
5.77806647,0,0,0
5.91244032,0,0,0
6.04681372,0,0,0
6.18118756,0,0,0
6.31556096,0,0,0
6.44993481,0,0,0
6.58430821,0,0,0
6.71868206,0,0,0
6.8530559,0,0,0
6.9874293,0,0,0
7.12180315,0,0,0
7.25617655,0,0,0
7.39055039,0,0,0
7.5249238,0,0,0
7.6592972,0,0,0
7.79367149,0,0,0
7.92804489,0,0,0
8.06241829,0,0,0
8.19679169,0,0,0
8.33116598,0,0,0
8.46553938,0,0,0
8.59991278,0,0,0
8.73428707,0,0,0
8.86866047,0,0,0
9.00303387,0,0,0
9.13740728,0,0,0
9.27178156,0,0,0
9.40615497,0,0,0
9.54052837,0,0,0
9.67490177,0,0,0
9.80927606,0,0,0
9.94364946,0,0,0
10.0780229,0,0,0
10.2123972,0,0,0
10.3467706,0,0,0
10.481144,0,0,0
10.6155174,0,0,0
10.7498916,0,0,0
10.884265,0,0,0
11.0186384,0,0,0
11.1530118,0,0,0
11.2873861,0,0,0
11.4217595,0,0,0
11.5561329,0,0,0
11.6905072,0,0,0
11.8248806,0,0,0
11.959254,0,0,0
12.0936274,0,0,0
12.2280017,0,0,0
12.3623751,0,0,0
12.4967485,0,0,0
12.6311219,0,0,0
12.7654962,0,0,0
12.8998696,0,0,0
13.034243,0,0,0
13.1686164,0,0,0
13.3029907,0,0,0
13.4373641,0,0,0
13.5717375,0,0,0
13.7061118,0,0,0
13.8404852,0,0,0
13.9748586,0,0,0
14.109232,0,0,0
14.2436063,0,0,0
14.3779797,0,0,0
14.5123531,0,0,0
14.6467265,0,0,0
14.7811008,0,0,0
14.9154751,0,0,0
15.0498476,0,0,0
15.1842219,0,0,0
15.3185944,0,0,0
15.4529687,0,0,0
15.587343,0,0,0
15.7217155,0,0,0
15.8560898,0,0,0
15.9904641,0,0,0
16.1248366,0,0,0
16.2592109,0,0,0
16.3935834,0,0,0
16.5279577,0,0,0
16.662332,0,0,0
16.7967045,0,0,0
16.9310788,0,0,0
17.0654531,0,0,0
17.1998256,0,0,0
17.3341999,0,0,0
17.4685741,0,0,0
17.6029467,0,0,0
17.7373209,0,0,0
17.8716935,0,0,0
18.0060677,0,0,0
18.140442,0,0,0
18.2748146,0,0,0
18.4091888,0,0,0
18.5435631,0,0,0
18.6779356,0,0,0
18.8123099,0,0,0
18.9466842,0,0,0
19.0810567,0,0,0
19.215431,0,0,0
19.3498035,0,0,0
19.4841778,0,0,0
19.6185521,0,0,0
19.7529246,0,0,0
19.8872989,0,0,0
20.0216732,0,0,0
20.1560457,0,0,0
20.29042,0,0,0
20.4247943,0,0,0
20.5591668,0,0,0
20.6935411,0,0,0
20.8279136,0,0,0
20.9622879,0,0,0
21.0966622,0,0,0
21.2310347,0,0,0
21.365409,0,0,0
21.4997833,0,0,0
21.6341558,0,0,0
21.7685301,0,0,0
21.9029044,0,0,0
22.0372769,0,0,0
22.1716512,0,0,0
22.3060237,0,0,0
22.440398,0,0,0
22.5747723,0,0,0
22.7091448,0,0,0
22.8435191,0,0,0
22.9778934,0,0,0
23.1122659,0,0,0
23.2466402,0,0,0
23.3810145,0,0,0
23.515387,0,0,0
23.6497613,0,0,0
23.7841338,0,0,0
23.9185081,0,0,0
24.0528824,0,0,0
24.1872549,0,0,0
24.3216292,0,0,0
24.4560034,0,0,0
24.590376,0,0,0
24.7247502,0,0,0
24.8591245,0,0,0
24.993497,0,0,0
25.1278713,0,0,0
25.2622439,0,0,0
25.3966181,0,0,0
25.5309924,0,0,0
25.6653649,0,0,0
25.7997392,0,0,0
25.9341135,0,0,0
26.068486,0,0,0
26.2028603,0,0,0
26.3372328,0,0,0
26.4716071,0,0,0
26.6059814,0,0,0
26.7403539,0,0,0
26.8747282,0,0,0
27.0091025,0,0,0
27.143475,0,0,0
27.2778493,0,0,0
27.4122236,0,0,0
27.5465961,0,0,0
27.6809704,0,0,0
27.8153429,0,0,0
27.9497172,0,0,0
28.0840915,0,0,0
28.218464,0,0,0
28.3528383,0,0,0
28.4872126,0,0,0
28.6215851,0,0,0
28.7559594,0,0,0
28.8903337,0,0,0
29.0247062,0,0,0
