Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153572779,0,0,0
0.307145559,0,0,0
0.460718352,0,0,0
0.614291118,0,0,0
0.767863884,0,0,0
0.921436705,0,0,0
1.07500941,0,0,0
1.22858224,0,0,0
1.38215506,0,0,0
1.53572777,0,0,0
1.68930059,0,0,0
1.84287341,0,0,0
1.99644612,0,0,0
2.15001883,0,0,0
2.30359176,0,0,0
2.45716447,0,0,0
2.61073718,0,0,0
2.76431011,0,0,0
2.91788282,0,0,0
3.07145553,0,0,0
3.22502847,0,0,0
3.37860118,0,0,0
3.53217389,0,0,0
3.68574682,0,0,0
3.83931953,0,0,0
3.99289224,0,0,0
4.14646495,0,0,0
4.30003766,0,0,0
4.45361081,0,0,0
4.60718352,0,0,0
4.76075623,0,0,0
4.91432894,0,0,0
5.06790165,0,0,0
5.22147436,0,0,0
5.37504707,0,0,0
5.52862023,0,0,0
5.68219294,0,0,0
5.83576565,0,0,0
5.98933836,0,0,0
6.14291107,0,0,0
6.29648378,0,0,0
6.45005693,0,0,0
6.60362964,0,0,0
6.75720235,0,0,0
6.91077506,0,0,0
7.06434777,0,0,0
7.21792048,0,0,0
7.37149364,0,0,0
7.5250659,0,0,0
7.67863906,0,0,0
7.83221132,0,0,0
7.98578448,0,0,0
8.13935763,0,0,0
8.2929299,0,0,0
8.44650305,0,0,0
8.60007532,0,0,0
8.75364847,0,0,0
8.90722163,0,0,0
9.06079389,0,0,0
9.21436705,0,0,0
9.36793931,0,0,0
9.52151247,0,0,0
9.67508473,0,0,0
9.82865789,0,0,0
9.98223104,0,0,0
10.1358033,0,0,0
10.2893765,0,0,0
10.4429487,0,0,0
10.5965219,0,0,0
10.7500941,0,0,0
10.9036673,0,0,0
11.0572405,0,0,0
11.2108127,0,0,0
11.3643859,0,0,0
11.5179581,0,0,0
11.6715313,0,0,0
11.8251045,0,0,0
11.9786767,0,0,0
12.1322499,0,0,0
12.2858221,0,0,0
12.4393953,0,0,0
12.5929676,0,0,0
12.7465407,0,0,0
12.9001139,0,0,0
13.0536861,0,0,0
13.2072593,0,0,0
13.3608316,0,0,0
13.5144047,0,0,0
13.667977,0,0,0
13.8215501,0,0,0
13.9751233,0,0,0
14.1286955,0,0,0
14.2822687,0,0,0
14.435841,0,0,0
14.5894141,0,0,0
14.7429873,0,0,0
14.8965595,0,0,0
15.0501318,0,0,0
15.203705,0,0,0
15.3572781,0,0,0
15.5108513,0,0,0
15.6644226,0,0,0
15.8179958,0,0,0
15.971569,0,0,0
16.1251421,0,0,0
16.2787153,0,0,0
16.4322866,0,0,0
16.5858598,0,0,0
16.739433,0,0,0
16.8930061,0,0,0
17.0465793,0,0,0
17.2001506,0,0,0
17.3537238,0,0,0
17.5072969,0,0,0
17.6608701,0,0,0
17.8144433,0,0,0
17.9680146,0,0,0
18.1215878,0,0,0
18.2751609,0,0,0
18.4287341,0,0,0
18.5823055,0,0,0
18.7358786,0,0,0
18.8894518,0,0,0
19.0430249,0,0,0
19.1965981,0,0,0
19.3501695,0,0,0
19.5037426,0,0,0
19.6573158,0,0,0
19.8108889,0,0,0
19.9644621,0,0,0
20.1180335,0,0,0
20.2716066,0,0,0
20.4251798,0,0,0
20.5787529,0,0,0
20.7323261,0,0,0
20.8858975,0,0,0
21.0394706,0,0,0
21.1930438,0,0,0
21.3466169,0,0,0
21.5001883,0,0,0
21.6537615,0,0,0
21.8073346,0,0,0
21.9609078,0,0,0
22.1144809,0,0,0
22.2680523,0,0,0
22.4216254,0,0,0
22.5751986,0,0,0
22.7287718,0,0,0
22.8823449,0,0,0
23.0359163,0,0,0
23.1894894,0,0,0
23.3430626,0,0,0
23.4966357,0,0,0
23.6502089,0,0,0
23.8037803,0,0,0
23.9573534,0,0,0
24.1109266,0,0,0
24.2644997,0,0,0
24.4180711,0,0,0
24.5716443,0,0,0
24.7252174,0,0,0
24.8787906,0,0,0
25.0323637,0,0,0
25.1859351,0,0,0
25.3395083,0,0,0
25.4930814,0,0,0
25.6466546,0,0,0
25.8002277,0,0,0
25.9537991,0,0,0
26.1073723,0,0,0
26.2609454,0,0,0
26.4145186,0,0,0
26.5680917,0,0,0
26.7216631,0,0,0
26.8752363,0,0,0
27.0288094,0,0,0
27.1823826,0,0,0
27.3359539,0,0,0
27.4895271,0,0,0
27.6431003,0,0,0
27.7966734,0,0,0
27.9502466,0,0,0
28.1038179,0,0,0
28.2573911,0,0,0
28.4109642,0,0,0
28.5645374,0,0,0
28.7181106,0,0,0
28.8716819,0,0,0
29.0252551,0,0,0
29.1788282,0,0,0
29.3324014,0,0,0
29.4859746,0,0,0
29.6395459,0,0,0
29.7931191,0,0,0
29.9466905,0,0,0
30.1002636,0,0,0
30.2538368,0,0,0
30.4074099,0,0,0
30.5609831,0,0,0
30.7145562,0,0,0
