Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.134511069,0,0,0
0.269022138,0,0,0
0.403533235,0,0,0
0.538044276,0,0,0
0.672555345,0,0,0
0.807066469,0,0,0
0.941577483,0,0,0
1.07608855,0,0,0
1.21059962,0,0,0
1.34511069,0,0,0
1.47962176,0,0,0
1.61413294,0,0,0
1.74864401,0,0,0
1.88315497,0,0,0
2.01766603,0,0,0
2.1521771,0,0,0
2.28668817,0,0,0
2.42119924,0,0,0
2.55571031,0,0,0
2.69022138,0,0,0
2.82473245,0,0,0
2.95924352,0,0,0
3.09375459,0,0,0
3.22826588,0,0,0
3.36277695,0,0,0
3.49728801,0,0,0
3.63179908,0,0,0
3.76630993,0,0,0
3.900821,0,0,0
4.03533207,0,0,0
4.16984314,0,0,0
4.30435421,0,0,0
4.43886528,0,0,0
4.57337634,0,0,0
4.70788741,0,0,0
4.84239848,0,0,0
4.97690955,0,0,0
5.11142062,0,0,0
5.24593169,0,0,0
5.38044276,0,0,0
5.51495383,0,0,0
5.6494649,0,0,0
5.78397596,0,0,0
5.91848703,0,0,0
6.0529981,0,0,0
6.18750917,0,0,0
6.32202024,0,0,0
6.45653175,0,0,0
6.59104282,0,0,0
6.72555389,0,0,0
6.86006496,0,0,0
6.99457603,0,0,0
7.1290871,0,0,0
7.26359817,0,0,0
7.39810924,0,0,0
7.53261986,0,0,0
7.66713093,0,0,0
7.801642,0,0,0
7.93615307,0,0,0
8.07066414,0,0,0
8.20517521,0,0,0
8.33968627,0,0,0
8.47419734,0,0,0
8.60870841,0,0,0
8.74321948,0,0,0
8.87773055,0,0,0
9.01224162,0,0,0
9.14675269,0,0,0
9.28126376,0,0,0
9.41577483,0,0,0
9.5502859,0,0,0
9.68479696,0,0,0
9.81930803,0,0,0
9.9538191,0,0,0
10.0883302,0,0,0
10.2228412,0,0,0
10.3573523,0,0,0
10.4918634,0,0,0
10.6263744,0,0,0
10.7608855,0,0,0
10.8953966,0,0,0
11.0299077,0,0,0
11.1644187,0,0,0
11.2989298,0,0,0
11.4334409,0,0,0
11.5679519,0,0,0
11.702463,0,0,0
11.8369741,0,0,0
11.9714851,0,0,0
12.1059962,0,0,0
12.2405073,0,0,0
12.3750183,0,0,0
12.5095294,0,0,0
12.6440405,0,0,0
12.7785516,0,0,0
12.9130635,0,0,0
13.0475746,0,0,0
13.1820856,0,0,0
13.3165967,0,0,0
13.4511078,0,0,0
13.5856189,0,0,0
13.7201299,0,0,0
13.854641,0,0,0
13.9891521,0,0,0
14.1236631,0,0,0
14.2581742,0,0,0
14.3926853,0,0,0
14.5271963,0,0,0
14.6617074,0,0,0
14.7962185,0,0,0
14.9307287,0,0,0
15.0652397,0,0,0
15.1997508,0,0,0
15.3342619,0,0,0
15.4687729,0,0,0
15.603284,0,0,0
15.7377951,0,0,0
15.8723061,0,0,0
16.0068172,0,0,0
16.1413283,0,0,0
16.2758393,0,0,0
16.4103504,0,0,0
16.5448615,0,0,0
16.6793725,0,0,0
16.8138836,0,0,0
16.9483947,0,0,0
17.0829058,0,0,0
17.2174168,0,0,0
17.3519279,0,0,0
17.486439,0,0,0
17.62095,0,0,0
17.7554611,0,0,0
17.8899722,0,0,0
18.0244832,0,0,0
18.1589943,0,0,0
18.2935054,0,0,0
18.4280164,0,0,0
18.5625275,0,0,0
18.6970386,0,0,0
18.8315497,0,0,0
18.9660607,0,0,0
19.1005718,0,0,0
19.2350829,0,0,0
19.3695939,0,0,0
19.504105,0,0,0
19.6386161,0,0,0
19.7731271,0,0,0
19.9076382,0,0,0
20.0421493,0,0,0
20.1766603,0,0,0
20.3111714,0,0,0
20.4456825,0,0,0
20.5801935,0,0,0
20.7147046,0,0,0
20.8492157,0,0,0
20.9837268,0,0,0
21.1182378,0,0,0
21.2527489,0,0,0
21.38726,0,0,0
21.521771,0,0,0
21.6562821,0,0,0
21.7907932,0,0,0
21.9253042,0,0,0
22.0598153,0,0,0
22.1943264,0,0,0
22.3288374,0,0,0
22.4633485,0,0,0
22.5978596,0,0,0
22.7323707,0,0,0
22.8668817,0,0,0
23.0013928,0,0,0
23.1359039,0,0,0
23.2704149,0,0,0
23.404926,0,0,0
23.5394371,0,0,0
23.6739481,0,0,0
23.8084592,0,0,0
23.9429703,0,0,0
24.0774813,0,0,0
24.2119924,0,0,0
24.3465035,0,0,0
24.4810145,0,0,0
24.6155256,0,0,0
24.7500367,0,0,0
24.8845478,0,0,0
25.0190588,0,0,0
25.1535699,0,0,0
25.288081,0,0,0
