Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.134450021,0,0,0
0.268900041,0,0,0
0.403350076,0,0,0
0.537800082,0,0,0
0.672250144,0,0,0
0.806700151,0,0,0
0.941150158,0,0,0
1.07560016,0,0,0
1.21005017,0,0,0
1.34450029,0,0,0
1.4789503,0,0,0
1.6134003,0,0,0
1.74785031,0,0,0
1.88230032,0,0,0
2.01675032,0,0,0
2.15120033,0,0,0
2.28565034,0,0,0
2.42010034,0,0,0
2.55455057,0,0,0
2.68900058,0,0,0
2.82345058,0,0,0
2.95790059,0,0,0
3.0923506,0,0,0
3.2268006,0,0,0
3.36125061,0,0,0
3.49570062,0,0,0
3.63015062,0,0,0
3.76460063,0,0,0
3.89905086,0,0,0
4.03350064,0,0,0
4.16795087,0,0,0
4.30240066,0,0,0
4.43685089,0,0,0
4.57130067,0,0,0
4.7057509,0,0,0
4.84020068,0,0,0
4.97465091,0,0,0
5.10910114,0,0,0
5.24355093,0,0,0
5.37800116,0,0,0
5.51245094,0,0,0
5.64690117,0,0,0
5.78135095,0,0,0
5.91580118,0,0,0
6.05025097,0,0,0
6.1847012,0,0,0
6.31915098,0,0,0
6.45360121,0,0,0
6.58805099,0,0,0
6.72250122,0,0,0
6.85695145,0,0,0
6.99140124,0,0,0
7.12585146,0,0,0
7.26030125,0,0,0
7.39475148,0,0,0
7.52920126,0,0,0
7.66365105,0,0,0
7.79810172,0,0,0
7.9325515,0,0,0
8.06700129,0,0,0
8.20145107,0,0,0
8.33590175,0,0,0
8.47035153,0,0,0
8.60480132,0,0,0
8.73925199,0,0,0
8.87370177,0,0,0
9.00815156,0,0,0
9.14260134,0,0,0
9.27705202,0,0,0
9.4115018,0,0,0
9.54595158,0,0,0
9.68040137,0,0,0
9.81485204,0,0,0
9.94930183,0,0,0
10.0837516,0,0,0
10.2182023,0,0,0
10.3526521,0,0,0
10.4871019,0,0,0
10.6215516,0,0,0
10.7560023,0,0,0
