Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.153717733,0,0,0
0.307435466,0,0,0
0.461153199,0,0,0
0.614870932,0,0,0
0.768588637,0,0,0
0.922306398,0,0,0
1.07602416,0,0,0
1.22974186,0,0,0
1.38345957,0,0,0
1.53717727,0,0,0
1.69089498,0,0,0
1.8446128,0,0,0
1.99833039,0,0,0
2.15204832,0,0,0
2.30576602,0,0,0
2.45948373,0,0,0
2.61320143,0,0,0
2.76691914,0,0,0
2.92063684,0,0,0
3.07435455,0,0,0
3.22807225,0,0,0
3.38178996,0,0,0
3.53550789,0,0,0
3.68922559,0,0,0
3.8429433,0,0,0
3.99666078,0,0,0
4.15037871,0,0,0
4.30409663,0,0,0
4.45781412,0,0,0
4.61153205,0,0,0
4.76524953,0,0,0
4.91896746,0,0,0
5.07268494,0,0,0
5.22640287,0,0,0
5.38012035,0,0,0
5.53383828,0,0,0
5.6875562,0,0,0
5.84127369,0,0,0
5.99499161,0,0,0
6.1487091,0,0,0
6.30242702,0,0,0
6.45614451,0,0,0
6.60986244,0,0,0
6.76357992,0,0,0
6.91729785,0,0,0
7.07101577,0,0,0
7.22473326,0,0,0
7.37845118,0,0,0
7.53216867,0,0,0
7.68588659,0,0,0
7.83960452,0,0,0
7.99332156,0,0,0
8.14703949,0,0,0
8.30075741,0,0,0
8.45447534,0,0,0
8.60819327,0,0,0
8.76191031,0,0,0
8.91562824,0,0,0
9.06934616,0,0,0
9.22306409,0,0,0
9.37678113,0,0,0
9.53049906,0,0,0
9.68421698,0,0,0
9.83793491,0,0,0
9.99165284,0,0,0
10.1453699,0,0,0
10.2990878,0,0,0
10.4528057,0,0,0
10.6065237,0,0,0
10.7602407,0,0,0
10.9139586,0,0,0
11.0676766,0,0,0
11.2213945,0,0,0
11.3751124,0,0,0
11.5288294,0,0,0
11.6825474,0,0,0
11.8362653,0,0,0
11.9899832,0,0,0
12.1437003,0,0,0
12.2974182,0,0,0
12.4511361,0,0,0
12.604854,0,0,0
12.758572,0,0,0
12.912289,0,0,0
13.0660069,0,0,0
13.2197249,0,0,0
13.3734428,0,0,0
13.5271598,0,0,0
13.6808778,0,0,0
13.8345957,0,0,0
13.9883136,0,0,0
14.1420315,0,0,0
14.2957486,0,0,0
14.4494665,0,0,0
14.6031844,0,0,0
14.7569024,0,0,0
14.9106203,0,0,0
15.0643373,0,0,0
15.2180561,0,0,0
15.3717732,0,0,0
15.5254902,0,0,0
15.679209,0,0,0
15.8329261,0,0,0
15.9866431,0,0,0
16.1403619,0,0,0
16.294079,0,0,0
16.4477978,0,0,0
16.6015148,0,0,0
16.7552319,0,0,0
16.9089507,0,0,0
17.0626677,0,0,0
17.2163865,0,0,0
17.3701036,0,0,0
17.5238206,0,0,0
17.6775394,0,0,0
17.8312565,0,0,0
17.9849753,0,0,0
18.1386923,0,0,0
18.2924094,0,0,0
18.4461282,0,0,0
18.5998452,0,0,0
18.7535623,0,0,0
18.9072811,0,0,0
19.0609981,0,0,0
19.2147169,0,0,0
19.368434,0,0,0
19.522151,0,0,0
19.6758698,0,0,0
19.8295869,0,0,0
19.9833057,0,0,0
20.1370227,0,0,0
20.2907398,0,0,0
20.4444586,0,0,0
20.5981756,0,0,0
20.7518944,0,0,0
20.9056115,0,0,0
21.0593285,0,0,0
21.2130473,0,0,0
21.3667644,0,0,0
21.5204814,0,0,0
21.6742002,0,0,0
21.8279173,0,0,0
21.9816361,0,0,0
22.1353531,0,0,0
22.2890701,0,0,0
22.442789,0,0,0
22.596506,0,0,0
22.7502248,0,0,0
22.9039419,0,0,0
23.0576589,0,0,0
23.2113777,0,0,0
23.3650947,0,0,0
23.5188136,0,0,0
23.6725306,0,0,0
23.8262476,0,0,0
23.9799665,0,0,0
24.1336835,0,0,0
24.2874005,0,0,0
24.4411194,0,0,0
24.5948364,0,0,0
24.7485552,0,0,0
24.9022722,0,0,0
25.0559893,0,0,0
25.2097081,0,0,0
25.3634251,0,0,0
25.517144,0,0,0
25.670861,0,0,0
25.824578,0,0,0
25.9782968,0,0,0
26.1320139,0,0,0
26.2857327,0,0,0
26.4394497,0,0,0
26.5931668,0,0,0
26.7468856,0,0,0
26.9006026,0,0,0
27.0543197,0,0,0
27.2080385,0,0,0
27.3617555,0,0,0
27.5154743,0,0,0
27.6691914,0,0,0
27.8229084,0,0,0
27.9766272,0,0,0
28.1303443,0,0,0
28.2840631,0,0,0
28.4377801,0,0,0
28.5914972,0,0,0
28.745216,0,0,0
28.898933,0,0,0
29.0526518,0,0,0
29.2063689,0,0,0
29.3600859,0,0,0
29.5138047,0,0,0
29.6675218,0,0,0
29.8212406,0,0,0
29.9749559,0,0,0
30.1286747,0,0,0
30.2823935,0,0,0
30.4361123,0,0,0
30.5898276,0,0,0
30.7435464,0,0,0
30.8972652,0,0,0
31.0509805,0,0,0
31.2046993,0,0,0
31.3584181,0,0,0
31.5121333,0,0,0
31.6658522,0,0,0
31.819571,0,0,0
31.9732862,0,0,0
32.1270051,0,0,0
32.2807239,0,0,0
32.4344427,0,0,0
32.5881579,0,0,0
32.7418768,0,0,0
32.8955956,0,0,0
33.0493108,0,0,0
33.2030297,0,0,0
33.3567485,0,0,0
33.5104637,0,0,0
33.6641826,0,0,0
33.8179014,0,0,0
33.9716166,0,0,0
34.1253354,0,0,0
34.2790543,0,0,0
34.4327731,0,0,0
34.5864883,0,0,0
34.7402072,0,0,0
34.893926,0,0,0
35.0476412,0,0,0
35.20136,0,0,0
35.3550789,0,0,0
35.5087941,0,0,0
35.6625129,0,0,0
35.8162318,0,0,0
35.9699506,0,0,0
36.1236658,0,0,0
36.2773847,0,0,0
36.4311035,0,0,0
36.5848187,0,0,0
36.7385375,0,0,0
36.8922564,0,0,0
37.0459716,0,0,0
37.1996904,0,0,0
37.3534093,0,0,0
37.5071245,0,0,0
37.6608433,0,0,0
37.8145621,0,0,0
37.968281,0,0,0
38.1219962,0,0,0
38.275715,0,0,0
38.4294339,0,0,0
38.5831491,0,0,0
38.7368679,0,0,0
38.8905868,0,0,0
39.044302,0,0,0
39.1980208,0,0,0
39.3517396,0,0,0
39.5054549,0,0,0
39.6591737,0,0,0
39.8128925,0,0,0
39.9666114,0,0,0
40.1203266,0,0,0
40.2740454,0,0,0
40.4277642,0,0,0
40.5814795,0,0,0
40.7351983,0,0,0
40.8889171,0,0,0
41.0426324,0,0,0
41.1963512,0,0,0
41.35007,0,0,0
41.5037889,0,0,0
41.6575041,0,0,0
41.8112229,0,0,0
41.9649417,0,0,0
42.118657,0,0,0
42.2723758,0,0,0
42.4260946,0,0,0
42.5798099,0,0,0
42.7335287,0,0,0
42.8872475,0,0,0
43.0409628,0,0,0
43.1946816,0,0,0
43.3484004,0,0,0
43.5021192,0,0,0
43.6558345,0,0,0
43.8095533,0,0,0
43.9632721,0,0,0
44.1169874,0,0,0
44.2707062,0,0,0
44.424425,0,0,0
44.5781403,0,0,0
44.7318591,0,0,0
44.8855779,0,0,0
45.0392932,0,0,0
45.193012,0,0,0
45.3467308,0,0,0
45.5004496,0,0,0
45.6541649,0,0,0
45.8078837,0,0,0
45.9616025,0,0,0
46.1153178,0,0,0
46.2690366,0,0,0
46.4227554,0,0,0
46.5764707,0,0,0
46.7301895,0,0,0
46.8839083,0,0,0
47.0376271,0,0,0
47.1913424,0,0,0
47.3450612,0,0,0
47.49878,0,0,0
47.6524953,0,0,0
47.8062141,0,0,0
47.9599329,0,0,0
48.1136482,0,0,0
48.267367,0,0,0
48.4210858,0,0,0
48.5748011,0,0,0
48.7285199,0,0,0
48.8822387,0,0,0
49.0359575,0,0,0
49.1896728,0,0,0
49.3433916,0,0,0
49.4971104,0,0,0
49.6508257,0,0,0
49.8045445,0,0,0
49.9582633,0,0,0
50.1119786,0,0,0
50.2656974,0,0,0
50.4194162,0,0,0
50.5731315,0,0,0
50.7268503,0,0,0
50.8805691,0,0,0
51.0342879,0,0,0
51.1880032,0,0,0
51.341722,0,0,0
51.4954408,0,0,0
51.6491561,0,0,0
51.8028749,0,0,0
51.9565937,0,0,0
52.110309,0,0,0
52.2640278,0,0,0
52.4177466,0,0,0
52.5714654,0,0,0
52.7251807,0,0,0
52.8788995,0,0,0
53.0326183,0,0,0
53.1863336,0,0,0
53.3400524,0,0,0
53.4937712,0,0,0
53.6474865,0,0,0
53.8012053,0,0,0
53.9549241,0,0,0
54.1086393,0,0,0
54.2623582,0,0,0
54.416077,0,0,0
54.5697958,0,0,0
54.7235111,0,0,0
54.8772299,0,0,0
55.0309487,0,0,0
55.1846639,0,0,0
55.3383828,0,0,0
55.4921016,0,0,0
55.6458168,0,0,0
55.7995357,0,0,0
55.9532545,0,0,0
56.1069697,0,0,0
56.2606886,0,0,0
56.4144074,0,0,0
56.5681262,0,0,0
56.7218414,0,0,0
56.8755603,0,0,0
57.0292791,0,0,0
57.1829943,0,0,0
57.3367132,0,0,0
57.490432,0,0,0
57.6441472,0,0,0
57.797866,0,0,0
57.9515849,0,0,0
58.1053037,0,0,0
58.2590189,0,0,0
58.4127378,0,0,0
58.5664566,0,0,0
58.7201718,0,0,0
58.8738907,0,0,0
59.0276095,0,0,0
59.1813247,0,0,0
59.3350435,0,0,0
59.4887624,0,0,0
59.6424812,0,0,0
59.7962,0,0,0
59.9499117,0,0,0
60.1036305,0,0,0
60.2573493,0,0,0
60.4110681,0,0,0
60.564787,0,0,0
60.7185058,0,0,0
60.8722246,0,0,0
61.0259363,0,0,0
61.1796551,0,0,0
61.3333739,0,0,0
61.4870928,0,0,0
61.6408116,0,0,0
61.7945304,0,0,0
61.9482421,0,0,0
62.1019609,0,0,0
62.2556797,0,0,0
62.4093985,0,0,0
62.5631174,0,0,0
62.7168362,0,0,0
62.870555,0,0,0
63.0242667,0,0,0
63.1779855,0,0,0
63.3317043,0,0,0
63.4854231,0,0,0
63.639142,0,0,0
63.7928608,0,0,0
63.9465725,0,0,0
64.1002913,0,0,0
64.2540101,0,0,0
64.4077289,0,0,0
64.5614477,0,0,0
64.7151666,0,0,0
64.8688854,0,0,0
65.0225971,0,0,0
65.1763159,0,0,0
65.3300347,0,0,0
65.4837535,0,0,0
65.6374723,0,0,0
65.7911912,0,0,0
65.9449029,0,0,0
66.0986217,0,0,0
66.2523405,0,0,0
66.4060593,0,0,0
66.5597781,0,0,0
66.7134969,0,0,0
66.8672158,0,0,0
67.0209275,0,0,0
67.1746463,0,0,0
67.3283651,0,0,0
67.4820839,0,0,0
67.6358027,0,0,0
67.7895216,0,0,0
67.9432333,0,0,0
68.0969521,0,0,0
68.2506709,0,0,0
68.4043897,0,0,0
68.5581085,0,0,0
68.7118273,0,0,0
68.8655462,0,0,0
69.0192579,0,0,0
69.1729767,0,0,0
69.3266955,0,0,0
69.4804143,0,0,0
69.6341331,0,0,0
69.7878519,0,0,0
69.9415637,0,0,0
70.0952825,0,0,0
70.2490013,0,0,0
70.4027201,0,0,0
70.5564389,0,0,0
70.7101577,0,0,0
70.8638765,0,0,0
71.0175883,0,0,0
71.1713071,0,0,0
71.3250259,0,0,0
71.4787447,0,0,0
71.6324635,0,0,0
71.7861823,0,0,0
71.9399011,0,0,0
72.0936129,0,0,0
72.2473317,0,0,0
72.4010505,0,0,0
72.5547693,0,0,0
72.7084881,0,0,0
72.8622069,0,0,0
73.0159186,0,0,0
73.1696375,0,0,0
73.3233563,0,0,0
73.4770751,0,0,0
73.6307939,0,0,0
73.7845127,0,0,0
73.9382315,0,0,0
74.0919432,0,0,0
74.2456621,0,0,0
74.3993809,0,0,0
74.5530997,0,0,0
74.7068185,0,0,0
74.8605373,0,0,0
75.014249,0,0,0
75.1679679,0,0,0
75.3216867,0,0,0
75.4754055,0,0,0
75.6291243,0,0,0
75.7828431,0,0,0
75.9365619,0,0,0
76.0902736,0,0,0
76.2439925,0,0,0
76.3977113,0,0,0
76.5514301,0,0,0
76.7051489,0,0,0
76.8588677,0,0,0
77.0125794,0,0,0
77.1662982,0,0,0
77.3200171,0,0,0
77.4737359,0,0,0
77.6274547,0,0,0
77.7811735,0,0,0
77.9348923,0,0,0
78.088604,0,0,0
78.2423228,0,0,0
78.3960417,0,0,0
78.5497605,0,0,0
78.7034793,0,0,0
78.8571981,0,0,0
79.0109098,0,0,0
79.1646286,0,0,0
79.3183474,0,0,0
79.4720663,0,0,0
79.6257851,0,0,0
79.7795039,0,0,0
79.9332227,0,0,0
80.0869344,0,0,0
80.2406532,0,0,0
80.394372,0,0,0
80.5480909,0,0,0
80.7018097,0,0,0
80.8555285,0,0,0
81.0092402,0,0,0
81.162959,0,0,0
81.3166778,0,0,0
81.4703967,0,0,0
81.6241155,0,0,0
81.7778343,0,0,0
81.9315531,0,0,0
82.0852648,0,0,0
82.2389836,0,0,0
82.3927024,0,0,0
82.5464213,0,0,0
82.7001401,0,0,0
82.8538589,0,0,0
83.0075777,0,0,0
83.1612894,0,0,0
83.3150082,0,0,0
83.468727,0,0,0
83.6224459,0,0,0
83.7761647,0,0,0
83.9298835,0,0,0
84.0835952,0,0,0
