Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.13449751,0,0,0
0.268995021,0,0,0
0.403492517,0,0,0
0.537990041,0,0,0
0.67248751,0,0,0
0.806985034,0,0,0
0.941482559,0,0,0
1.07598008,0,0,0
1.21047761,0,0,0
1.34497502,0,0,0
1.47947254,0,0,0
1.61397007,0,0,0
1.74846759,0,0,0
1.88296512,0,0,0
2.01746264,0,0,0
2.15196017,0,0,0
2.28645769,0,0,0
2.42095521,0,0,0
2.55545274,0,0,0
2.68995004,0,0,0
2.82444756,0,0,0
2.95894509,0,0,0
3.09344261,0,0,0
3.22794014,0,0,0
3.36243766,0,0,0
3.49693519,0,0,0
3.63143271,0,0,0
3.76593023,0,0,0
3.90042754,0,0,0
4.03492528,0,0,0
4.16942258,0,0,0
4.30392033,0,0,0
4.43841763,0,0,0
4.57291538,0,0,0
4.70741268,0,0,0
4.84191043,0,0,0
4.97640773,0,0,0
5.11090548,0,0,0
5.24540278,0,0,0
5.37990008,0,0,0
5.51439783,0,0,0
5.64889513,0,0,0
5.78339288,0,0,0
5.91789018,0,0,0
6.05238792,0,0,0
6.18688523,0,0,0
6.32138297,0,0,0
6.45588027,0,0,0
6.59037802,0,0,0
6.72487532,0,0,0
6.85937263,0,0,0
6.99387037,0,0,0
7.12836767,0,0,0
7.26286542,0,0,0
7.39736272,0,0,0
7.53186047,0,0,0
7.66635821,0,0,0
7.80085507,0,0,0
7.93535282,0,0,0
8.06985057,0,0,0
8.20434831,0,0,0
8.33884517,0,0,0
8.47334292,0,0,0
8.60784066,0,0,0
8.74233752,0,0,0
8.87683527,0,0,0
9.01133301,0,0,0
9.14583076,0,0,0
9.28032762,0,0,0
9.41482536,0,0,0
9.54932311,0,0,0
9.68382086,0,0,0
9.81831771,0,0,0
9.95281546,0,0,0
10.0873132,0,0,0
10.221811,0,0,0
10.3563078,0,0,0
10.4908056,0,0,0
10.6253033,0,0,0
10.7598002,0,0,0
10.8942979,0,0,0
11.0287957,0,0,0
11.1632934,0,0,0
11.2977903,0,0,0
11.432288,0,0,0
11.5667858,0,0,0
11.7012835,0,0,0
11.8357804,0,0,0
11.9702781,0,0,0
12.1047758,0,0,0
12.2392727,0,0,0
12.3737705,0,0,0
12.5082682,0,0,0
12.6427659,0,0,0
12.7772628,0,0,0
12.9117605,0,0,0
13.0462583,0,0,0
13.180756,0,0,0
13.3152529,0,0,0
13.4497506,0,0,0
13.5842484,0,0,0
13.7187453,0,0,0
13.853243,0,0,0
13.9877407,0,0,0
14.1222385,0,0,0
14.2567353,0,0,0
14.3912331,0,0,0
14.5257308,0,0,0
14.6602286,0,0,0
14.7947254,0,0,0
14.9292241,0,0,0
15.0637209,0,0,0
15.1982178,0,0,0
15.3327164,0,0,0
15.4672133,0,0,0
15.6017101,0,0,0
15.7362088,0,0,0
15.8707056,0,0,0
16.0052025,0,0,0
16.1397011,0,0,0
16.274198,0,0,0
16.4086966,0,0,0
16.5431935,0,0,0
16.6776903,0,0,0
16.812189,0,0,0
16.9466858,0,0,0
17.0811827,0,0,0
17.2156813,0,0,0
17.3501782,0,0,0
17.484675,0,0,0
17.6191737,0,0,0
17.7536705,0,0,0
17.8881692,0,0,0
18.022666,0,0,0
18.1571629,0,0,0
18.2916615,0,0,0
18.4261584,0,0,0
18.5606552,0,0,0
18.6951539,0,0,0
18.8296507,0,0,0
18.9641476,0,0,0
19.0986462,0,0,0
19.2331431,0,0,0
19.3676417,0,0,0
19.5021386,0,0,0
19.6366354,0,0,0
19.7711341,0,0,0
19.9056309,0,0,0
20.0401278,0,0,0
20.1746264,0,0,0
20.3091233,0,0,0
20.4436219,0,0,0
20.5781188,0,0,0
20.7126156,0,0,0
20.8471143,0,0,0
20.9816111,0,0,0
21.116108,0,0,0
21.2506066,0,0,0
21.3851035,0,0,0
21.5196003,0,0,0
21.654099,0,0,0
21.7885958,0,0,0
21.9230945,0,0,0
22.0575913,0,0,0
22.1920882,0,0,0
22.3265868,0,0,0
22.4610837,0,0,0
22.5955805,0,0,0
22.7300792,0,0,0
22.864576,0,0,0
22.9990729,0,0,0
23.1335715,0,0,0
23.2680684,0,0,0
23.402567,0,0,0
23.5370639,0,0,0
23.6715607,0,0,0
23.8060593,0,0,0
23.9405562,0,0,0
24.0750531,0,0,0
24.2095517,0,0,0
24.3440486,0,0,0
24.4785454,0,0,0
24.613044,0,0,0
24.7475409,0,0,0
24.8820395,0,0,0
25.0165364,0,0,0
25.1510333,0,0,0
25.2855319,0,0,0
25.4200287,0,0,0
25.5545256,0,0,0
25.6890242,0,0,0
25.8235211,0,0,0
25.958018,0,0,0
26.0925166,0,0,0
26.2270134,0,0,0
26.3615121,0,0,0
26.4960089,0,0,0
26.6305058,0,0,0
26.7650044,0,0,0
26.8995013,0,0,0
27.0339982,0,0,0
27.1684968,0,0,0
27.3029936,0,0,0
27.4374905,0,0,0
27.5719891,0,0,0
27.706486,0,0,0
27.8409846,0,0,0
27.9754815,0,0,0
28.1099783,0,0,0
28.244477,0,0,0
28.3789738,0,0,0
28.5134707,0,0,0
28.6479693,0,0,0
28.7824662,0,0,0
28.9169648,0,0,0
29.0514617,0,0,0
29.1859585,0,0,0
29.3204572,0,0,0
29.454954,0,0,0
29.5894509,0,0,0
29.7239495,0,0,0
29.8584482,0,0,0
29.9929432,0,0,0
30.1274419,0,0,0
30.2619405,0,0,0
30.3964356,0,0,0
30.5309342,0,0,0
