Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.134448244,0,0,0
0.268896488,0,0,0
0.403344719,0,0,0
0.537792977,0,0,0
0.672241207,0,0,0
0.806689437,0,0,0
0.941137723,0,0,0
1.07558595,0,0,0
1.21003418,0,0,0
1.34448241,0,0,0
1.47893064,0,0,0
1.61337887,0,0,0
1.74782711,0,0,0
1.88227545,0,0,0
2.01672368,0,0,0
2.15117191,0,0,0
2.28562014,0,0,0
2.42006837,0,0,0
2.5545166,0,0,0
2.68896483,0,0,0
2.82341306,0,0,0
2.95786129,0,0,0
3.09230952,0,0,0
3.22675775,0,0,0
3.36120598,0,0,0
3.49565421,0,0,0
3.63010266,0,0,0
3.76455089,0,0,0
3.8989989,0,0,0
4.03344735,0,0,0
4.16789536,0,0,0
4.30234381,0,0,0
4.43679182,0,0,0
4.57124028,0,0,0
4.70568828,0,0,0
4.84013674,0,0,0
4.97458519,0,0,0
5.1090332,0,0,0
5.24348165,0,0,0
5.37792966,0,0,0
5.51237811,0,0,0
5.64682612,0,0,0
5.78127457,0,0,0
5.91572258,0,0,0
6.05017103,0,0,0
6.18461904,0,0,0
6.31906749,0,0,0
6.4535155,0,0,0
6.58796395,0,0,0
6.72241196,0,0,0
6.85686041,0,0,0
6.99130842,0,0,0
7.12575687,0,0,0
7.26020533,0,0,0
7.39465333,0,0,0
7.52910179,0,0,0
7.66354979,0,0,0
7.7979978,0,0,0
7.9324467,0,0,0
8.06689471,0,0,0
8.20134272,0,0,0
8.33579072,0,0,0
8.47023962,0,0,0
8.60468763,0,0,0
8.73913564,0,0,0
8.87358365,0,0,0
9.00803254,0,0,0
9.14248055,0,0,0
9.27692856,0,0,0
9.41137657,0,0,0
9.54582546,0,0,0
9.68027347,0,0,0
9.81472148,0,0,0
9.94917038,0,0,0
10.0836184,0,0,0
10.2180664,0,0,0
10.3525144,0,0,0
10.4869633,0,0,0
10.6214113,0,0,0
10.7558593,0,0,0
10.8903073,0,0,0
11.0247562,0,0,0
11.1592042,0,0,0
11.2936522,0,0,0
11.4281002,0,0,0
11.5625491,0,0,0
11.6969971,0,0,0
11.8314452,0,0,0
11.9658941,0,0,0
12.1003421,0,0,0
12.2347901,0,0,0
12.3692381,0,0,0
12.503687,0,0,0
12.638135,0,0,0
12.772583,0,0,0
12.907031,0,0,0
13.0414799,0,0,0
13.1759279,0,0,0
13.3103759,0,0,0
13.4448239,0,0,0
13.5792728,0,0,0
13.7137208,0,0,0
13.8481688,0,0,0
13.9826168,0,0,0
14.1170657,0,0,0
14.2515137,0,0,0
14.3859618,0,0,0
14.5204107,0,0,0
14.6548587,0,0,0
14.7893067,0,0,0
