Time (ns),Total E x (V/m),Total E y (V/m),Total E z (V/m)
0,0,0,0
0.0768341779,0,0,0
0.153668356,0,0,0
0.230502534,0,0,0
0.307336712,0,0,0
0.38417089,0,0,0
0.461005067,0,0,0
0.537839218,0,0,0
0.614673423,0,0,0
0.691507573,0,0,0
0.768341779,0,0,0
0.845175929,0,0,0
0.922010135,0,0,0
0.998844341,0,0,0
1.07567844,0,0,0
1.15251264,0,0,0
1.22934685,0,0,0
1.30618105,0,0,0
1.38301515,0,0,0
1.45984935,0,0,0
1.53668356,0,0,0
1.61351765,0,0,0
1.69035186,0,0,0
1.76718606,0,0,0
1.84402027,0,0,0
1.92085436,0,0,0
1.99768868,0,0,0
2.07452278,0,0,0
2.15135687,0,0,0
2.22819119,0,0,0
2.30502528,0,0,0
2.38185938,0,0,0
2.45869369,0,0,0
2.53552779,0,0,0
2.6123621,0,0,0
2.6891962,0,0,0
2.76603029,0,0,0
2.84286461,0,0,0
2.91969871,0,0,0
2.9965328,0,0,0
3.07336712,0,0,0
3.15020121,0,0,0
3.22703531,0,0,0
3.30386962,0,0,0
3.38070372,0,0,0
3.45753803,0,0,0
3.53437213,0,0,0
3.61120622,0,0,0
3.68804054,0,0,0
3.76487463,0,0,0
3.84170873,0,0,0
3.91854282,0,0,0
3.99537736,0,0,0
4.07221146,0,0,0
4.14904555,0,0,0
4.22587965,0,0,0
4.30271374,0,0,0
4.37954784,0,0,0
4.45638237,0,0,0
4.53321647,0,0,0
4.61005056,0,0,0
4.68688466,0,0,0
4.76371875,0,0,0
4.84055329,0,0,0
4.91738739,0,0,0
4.99422148,0,0,0
5.07105558,0,0,0
5.14788967,0,0,0
5.22472421,0,0,0
5.3015583,0,0,0
5.3783924,0,0,0
5.45522649,0,0,0
5.53206059,0,0,0
5.60889468,0,0,0
5.68572922,0,0,0
5.76256332,0,0,0
5.83939741,0,0,0
5.9162315,0,0,0
5.9930656,0,0,0
6.06990014,0,0,0
6.14673423,0,0,0
6.22356833,0,0,0
6.30040242,0,0,0
6.37723652,0,0,0
6.45407061,0,0,0
6.53090515,0,0,0
6.60773924,0,0,0
6.68457334,0,0,0
6.76140743,0,0,0
6.83824153,0,0,0
6.91507607,0,0,0
6.99191016,0,0,0
7.06874426,0,0,0
7.14557835,0,0,0
7.22241245,0,0,0
7.29924654,0,0,0
7.37608108,0,0,0
7.45291473,0,0,0
7.52974927,0,0,0
7.60658381,0,0,0
7.68341746,0,0,0
7.760252,0,0,0
7.83708565,0,0,0
7.91392019,0,0,0
7.99075472,0,0,0
8.06758838,0,0,0
8.14442291,0,0,0
8.22125656,0,0,0
8.2980911,0,0,0
8.37492564,0,0,0
8.45175929,0,0,0
8.52859383,0,0,0
8.60542748,0,0,0
8.68226202,0,0,0
8.75909567,0,0,0
8.83593021,0,0,0
8.91276475,0,0,0
8.9895984,0,0,0
9.06643294,0,0,0
9.14326659,0,0,0
9.22010113,0,0,0
9.29693567,0,0,0
9.37376932,0,0,0
9.45060386,0,0,0
9.52743751,0,0,0
9.60427204,0,0,0
9.68110658,0,0,0
9.75794023,0,0,0
9.83477477,0,0,0
9.91160842,0,0,0
9.98844296,0,0,0
10.0652775,0,0,0
10.1421112,0,0,0
10.2189457,0,0,0
10.2957793,0,0,0
10.3726139,0,0,0
10.4494484,0,0,0
10.5262821,0,0,0
10.6031166,0,0,0
10.6799503,0,0,0
10.7567848,0,0,0
10.8336184,0,0,0
10.910453,0,0,0
10.9872875,0,0,0
11.0641212,0,0,0
11.1409557,0,0,0
11.2177894,0,0,0
11.2946239,0,0,0
11.3714584,0,0,0
11.4482921,0,0,0
11.5251266,0,0,0
11.6019603,0,0,0
11.6787948,0,0,0
11.7556294,0,0,0
11.832463,0,0,0
11.9092975,0,0,0
11.9861312,0,0,0
12.0629657,0,0,0
12.1398003,0,0,0
12.2166339,0,0,0
12.2934685,0,0,0
12.3703021,0,0,0
12.4471367,0,0,0
12.5239703,0,0,0
12.6008048,0,0,0
12.6776394,0,0,0
12.754473,0,0,0
12.8313076,0,0,0
12.9081412,0,0,0
12.9849758,0,0,0
13.0618103,0,0,0
13.138644,0,0,0
13.2154785,0,0,0
13.2923121,0,0,0
13.3691467,0,0,0
13.4459812,0,0,0
13.5228149,0,0,0
13.5996494,0,0,0
13.6764831,0,0,0
13.7533176,0,0,0
13.8301521,0,0,0
13.9069858,0,0,0
13.9838203,0,0,0
14.060654,0,0,0
14.1374885,0,0,0
14.2143231,0,0,0
14.2911567,0,0,0
14.3679912,0,0,0
14.4448249,0,0,0
14.5216594,0,0,0
14.5984931,0,0,0
14.6753276,0,0,0
14.7521622,0,0,0
14.8289958,0,0,0
14.9058295,0,0,0
14.982664,0,0,0
15.0594985,0,0,0
15.1363331,0,0,0
15.2131676,0,0,0
15.2900004,0,0,0
15.3668349,0,0,0
15.4436695,0,0,0
15.520504,0,0,0
15.5973385,0,0,0
15.6741713,0,0,0
15.7510058,0,0,0
15.8278404,0,0,0
15.9046749,0,0,0
15.9815094,0,0,0
16.0583422,0,0,0
16.1351768,0,0,0
16.2120113,0,0,0
16.2888458,0,0,0
16.3656804,0,0,0
16.4425131,0,0,0
16.5193477,0,0,0
16.5961822,0,0,0
16.6730167,0,0,0
16.7498513,0,0,0
16.826684,0,0,0
16.9035186,0,0,0
16.9803531,0,0,0
17.0571877,0,0,0
17.1340222,0,0,0
17.210855,0,0,0
17.2876895,0,0,0
17.364524,0,0,0
17.4413586,0,0,0
17.5181913,0,0,0
17.5950259,0,0,0
17.6718604,0,0,0
17.748695,0,0,0
17.8255295,0,0,0
17.9023623,0,0,0
17.9791968,0,0,0
18.0560313,0,0,0
18.1328659,0,0,0
18.2097004,0,0,0
18.2865332,0,0,0
18.3633677,0,0,0
18.4402023,0,0,0
18.5170368,0,0,0
18.5938713,0,0,0
18.6707041,0,0,0
18.7475386,0,0,0
18.8243732,0,0,0
18.9012077,0,0,0
18.9780422,0,0,0
19.054875,0,0,0
19.1317095,0,0,0
19.2085441,0,0,0
19.2853786,0,0,0
19.3622132,0,0,0
19.4390459,0,0,0
19.5158805,0,0,0
19.592715,0,0,0
19.6695495,0,0,0
19.7463841,0,0,0
19.8232168,0,0,0
19.9000514,0,0,0
19.9768859,0,0,0
20.0537205,0,0,0
20.130555,0,0,0
20.2073878,0,0,0
20.2842223,0,0,0
20.3610568,0,0,0
20.4378914,0,0,0
20.5147259,0,0,0
20.5915587,0,0,0
20.6683932,0,0,0
20.7452278,0,0,0
20.8220623,0,0,0
20.8988968,0,0,0
20.9757296,0,0,0
21.0525641,0,0,0
21.1293987,0,0,0
21.2062332,0,0,0
21.283066,0,0,0
21.3599005,0,0,0
21.4367351,0,0,0
21.5135696,0,0,0
21.5904041,0,0,0
21.6672369,0,0,0
21.7440714,0,0,0
21.820906,0,0,0
21.8977405,0,0,0
21.974575,0,0,0
22.0514078,0,0,0
22.1282423,0,0,0
22.2050769,0,0,0
22.2819114,0,0,0
22.358746,0,0,0
22.4355787,0,0,0
22.5124133,0,0,0
22.5892478,0,0,0
22.6660823,0,0,0
22.7429169,0,0,0
22.8197496,0,0,0
22.8965842,0,0,0
22.9734187,0,0,0
23.0502533,0,0,0
23.1270878,0,0,0
23.2039206,0,0,0
23.2807551,0,0,0
23.3575896,0,0,0
23.4344242,0,0,0
23.5112587,0,0,0
23.5880915,0,0,0
23.664926,0,0,0
23.7417606,0,0,0
23.8185951,0,0,0
23.8954296,0,0,0
23.9722624,0,0,0
24.0490969,0,0,0
24.1259315,0,0,0
24.202766,0,0,0
24.2796006,0,0,0
24.3564333,0,0,0
24.4332679,0,0,0
24.5101024,0,0,0
24.5869369,0,0,0
24.6637715,0,0,0
24.7406042,0,0,0
24.8174388,0,0,0
24.8942733,0,0,0
24.9711078,0,0,0
25.0479406,0,0,0
25.1247751,0,0,0
25.2016097,0,0,0
25.2784442,0,0,0
25.3552788,0,0,0
25.4321115,0,0,0
25.5089461,0,0,0
25.5857806,0,0,0
25.6626151,0,0,0
25.7394497,0,0,0
25.8162824,0,0,0
25.893117,0,0,0
25.9699515,0,0,0
26.0467861,0,0,0
26.1236206,0,0,0
26.2004534,0,0,0
26.2772879,0,0,0
26.3541224,0,0,0
26.430957,0,0,0
26.5077915,0,0,0
26.5846243,0,0,0
26.6614588,0,0,0
26.7382934,0,0,0
26.8151279,0,0,0
26.8919624,0,0,0
26.9687952,0,0,0
27.0456297,0,0,0
27.1224643,0,0,0
27.1992988,0,0,0
27.2761334,0,0,0
27.3529661,0,0,0
27.4298007,0,0,0
27.5066352,0,0,0
27.5834697,0,0,0
27.6603043,0,0,0
27.737137,0,0,0
27.8139716,0,0,0
27.8908061,0,0,0
27.9676406,0,0,0
28.0444752,0,0,0
28.1213079,0,0,0
28.1981425,0,0,0
28.274977,0,0,0
28.3518116,0,0,0
28.4286461,0,0,0
28.5054789,0,0,0
28.5823134,0,0,0
28.6591479,0,0,0
28.7359825,0,0,0
28.8128152,0,0,0
28.8896498,0,0,0
28.9664843,0,0,0
29.0433189,0,0,0
29.1201534,0,0,0
29.1969862,0,0,0
29.2738207,0,0,0
